"date","PIB","IPCA","SELIC","CAMBIO","DESEMPREGO"
1996-02-01,-0.0305733609182841,0.0102494594960234,-0.23,0.00675678246287973,-0.70000028610229
1996-03-01,0.0125506879505881,0.0034949726826996,-0.13,0.00529155605329469,-0.70000028610229
1996-04-01,0.0162404194909129,0.0125234358948996,-0.15,0.00415253546517934,-0.70000028610229
1996-05-01,0.0819826730874542,0.0121243389294721,-0.0600000000000001,0.00514139950041878,-0.70000028610229
1996-06-01,0.0229653805883636,0.0118282621330135,-0.0299999999999998,0.0060150557297611,-0.70000028610229
1996-07-01,0.0529571696353237,0.0110412162771798,-0.05,0.00558159527421696,-0.70000028610229
1996-08-01,-0.00228485757620334,0.00439148907107167,0.04,0.00643981023780374,-0.70000028610229
1996-09-01,-0.0416892515875844,0.00149910601222913,-0.0700000000000001,0.00580967613105173,-0.70000028610229
1996-10-01,0.0732881618832675,0.0029988804448946,-0.0399999999999998,0.00567849577562844,-0.70000028610229
1996-11-01,0.0412239339364202,0.00319629413733757,-0.0600000000000001,0.00516092483942807,-0.70000028610229
1996-12-01,0.0150265416818893,0.00469101260956517,0,0.00667927559391728,-0.70000028610229
1997-01-01,-0.0513080527425291,0.0117336546405022,-0.0700000000000001,0.00538825512254756,-0.70000028610229
1997-02-01,-0.0876384714028884,0.00498995814034853,-0.0600000000000001,0.00612266334359281,-0.70000028610229
1997-03-01,-0.00863682326491499,0.00508720197112833,-0.03,0.00703291247049413,-0.70000028610229
1997-04-01,0.0432564415663599,0.00876076575023799,0.02,0.00396975946658328,-0.70000028610229
1997-05-01,0.059804009395199,0.00408963678116159,-0.0799999999999998,0.00695622282372748,-0.70000028610229
1997-06-01,0.0388164718448731,0.00538467731703651,0.03,0.00588429288568969,-0.70000028610229
1997-07-01,0.0104900414406845,0.00219641059788511,-0.01,0.00566468525024492,-0.70000028610229
1997-08-01,0.000898952014113164,-0.000196916845465189,-0.01,0.00664515597124052,-0.70000028610229
1997-09-01,-0.00176943961525744,0.000597663505121915,0,0.00522960960657097,-0.70000028610229
1997-10-01,0.0627540318001447,0.00229592206255003,0.0799999999999998,0.00593040376829243,-0.70000028610229
1997-11-01,-0.0220882200046262,0.00169573514297827,1.37,0.00652826690628634,-0.70000028610229
1997-12-01,-0.0501080466969306,0.00428954332135678,-0.0699999999999998,0.00567748111812878,-0.70000028610229
1998-01-01,-0.0230785174049242,0.00707168380676038,-0.3,0.0056454292147483,-0.70000028610229
1998-02-01,-0.0455746685617768,0.0045926605192621,-0.54,0.0122559260554615,-0.70000028610229
1998-03-01,0.0598963167665314,0.00339122116500956,0.0700000000000003,0,-0.70000028610229
1998-04-01,0.00813241919160923,0.00239374859237707,-0.49,0.00659836115907407,-0.70000028610229
1998-05-01,0.0485917858193758,0.00498852991651422,-0.0800000000000001,0.0060322777665803,-0.70000028610229
1998-06-01,0.00415647618164883,0.000197661461088572,-0.0299999999999998,0.00564948701769169,-0.70000028610229
1998-07-01,0.0159550378220015,-0.00120020199620186,0.0999999999999999,0.00596242855178805,-0.70000028610229
1998-08-01,-0.00654552743224279,-0.00511013182716891,-0.22,0.00874941248010197,-0.70000028610229
1998-09-01,-0.0191444076609777,-0.00220396734516282,1.01,0.00782649677702396,-0.70000028610229
1998-10-01,0.0298714986011799,0.000199312030515486,0.45,0.00633528325790175,-0.70000028610229
1998-11-01,-0.0113617623164011,-0.00120334889286688,-0.31,0.00445285339829549,-0.70000028610229
1998-12-01,-0.0385562638102606,0.00329715918979456,-0.23,0.0097602443217204,-0.70000028610229
1999-01-01,-0.0258020839858606,0.00697738436063844,-0.22,0.22005061105651,-0.70000028610229
1999-02-01,-8.89628049556279e-05,0.0104464001763374,0.2,0.242422242492477,-0.70000028610229
1999-03-01,0.0928424661246101,0.0109385201813286,0.95,-0.00887401134364085,-0.70000028610229
