"regressor","abs_ridge","abs_tvp","ratio"
"intercept",0.275849880377959,0.427095693302192,1.54829029730592
"y_lag2",0.0894988801706362,0.168127661517554,1.87854486220393
"y_lag1",0.0700594107041537,0.309890935516318,4.42325923672015
"F2_lag1",0.0243949369599111,0.0367807777753597,1.50772177996617
"F2_lag2",0.00823214779014853,0.00574260384633161,0.697582695636712
"F3_lag1",0.0065193868203648,0.00832898501109989,1.27757183928439
"F7_lag1",0.00471021327917639,0.00247512746031573,0.525480973708376
"F3_lag2",0.00452533500254167,0.00921050815347948,2.03532073278694
"F1_lag1",0.00407410692416154,0.00720944343609905,1.76957639313376
"F8_lag1",0.00272965016679987,0.000419921877219703,0.153837250768293
"F5_lag1",0.00231164552194136,0.004324883430519,1.87091117105485
"F4_lag2",0.00182628375208005,0.00278235737109013,1.52350770679592
"F1_lag2",0.0016870940869574,0.00312877137677926,1.85453283309282
"F5_lag2",0.0014202347242613,0.000863599357294417,0.608068048571054
"F6_lag1",0.000959392273425489,0.00101538704677081,1.05836483667457
"F7_lag2",0.000781861771692708,2.43401015857233e-06,0.0031130952384368
"F4_lag1",0.000556638088513083,0.0046087788248054,8.27966845947712
"F8_lag2",0.000444826131764549,4.10876717012309e-05,0.0923679360703095
"F6_lag2",0.000406508169347921,0.00391919231150422,9.64111574385083
