"regressor","ar1"
"intercept",0.985261407845006
"F1_lag1",0.95936947746022
"F2_lag1",0.956739093307238
"F1_lag2",0.940209824738844
"F2_lag2",0.933644023747345
"y_lag2",0.915265383082787
"F4_lag1",0.909750656665238
"y_lag1",0.902628017080982
"F5_lag2",0.889248798436035
"F3_lag1",0.88487494750913
"F4_lag2",0.872529150153359
"F5_lag1",0.867946092332616
"F8_lag1",0.839733888064324
"F3_lag2",0.824316518819816
"F6_lag2",0.814635194063268
"F6_lag1",0.78741571939756
"F8_lag2",0.761999684920907
"F7_lag1",0.727253911547347
"F7_lag2",0.711323551091025
