"regressor","sign_changes","pct"
"F7_lag1",58,18.6495176848875
"F7_lag2",58,18.6495176848875
"F8_lag1",49,15.7556270096463
"F8_lag2",48,15.4340836012862
"F4_lag1",39,12.540192926045
"F4_lag2",37,11.8971061093248
"F3_lag1",35,11.2540192926045
"F6_lag2",35,11.2540192926045
"F6_lag1",31,9.96784565916399
"F3_lag2",29,9.32475884244373
"F2_lag2",28,9.0032154340836
"F5_lag2",26,8.36012861736334
"F5_lag1",19,6.10932475884244
"F1_lag2",18,5.78778135048232
"F1_lag1",16,5.14469453376206
"F2_lag1",15,4.82315112540193
"y_lag2",12,3.85852090032154
"y_lag1",2,0.643086816720257
"intercept",0,0
