"regressor","sign_changes","pct"
"F7_lag2",60,19.2926045016077
"F7_lag1",52,16.7202572347267
"F8_lag1",44,14.1479099678457
"F6_lag2",44,14.1479099678457
"F8_lag2",37,11.8971061093248
"F4_lag1",34,10.9324758842444
"F6_lag1",31,9.96784565916399
"F3_lag1",29,9.32475884244373
"F3_lag2",29,9.32475884244373
"F5_lag2",29,9.32475884244373
"F5_lag1",27,8.68167202572347
"F4_lag2",19,6.10932475884244
"F1_lag2",18,5.78778135048232
"F2_lag2",18,5.78778135048232
"y_lag2",14,4.5016077170418
"F2_lag1",14,4.5016077170418
"F1_lag1",13,4.18006430868167
"y_lag1",4,1.28617363344051
"intercept",0,0
