"regressor","sign_changes","pct"
"F7_lag1",52,16.7202572347267
"F8_lag1",44,14.1479099678457
"F8_lag2",43,13.8263665594855
"F7_lag2",38,12.2186495176849
"F6_lag1",36,11.5755627009646
"F4_lag2",35,11.2540192926045
"F6_lag2",30,9.64630225080386
"F4_lag1",29,9.32475884244373
"F3_lag2",29,9.32475884244373
"F1_lag1",28,9.0032154340836
"F1_lag2",28,9.0032154340836
"F3_lag1",25,8.03858520900322
"F5_lag2",24,7.71704180064309
"F5_lag1",23,7.39549839228296
"F2_lag1",10,3.21543408360129
"F2_lag2",10,3.21543408360129
"y_lag2",4,1.28617363344051
"intercept",0,0
"y_lag1",0,0
