"regressor","ar1"
"intercept",0.978390874559911
"F1_lag2",0.957502441207559
"F1_lag1",0.950871159084154
"y_lag1",0.928545466583726
"y_lag2",0.923659529398435
"F5_lag2",0.913339645434483
"F2_lag1",0.892757298179882
"F6_lag1",0.883471411627123
"F4_lag2",0.8794062530055
"F3_lag1",0.87244880378225
"F3_lag2",0.87177317901943
"F5_lag1",0.870354431332953
"F2_lag2",0.854891735618167
"F4_lag1",0.85362804031486
"F6_lag2",0.813929070671084
"F8_lag1",0.77450098425526
"F7_lag1",0.758532255722359
"F8_lag2",0.715237182370951
"F7_lag2",0.708577020054536
