"regressor","ar1"
"intercept",0.980204811857203
"y_lag1",0.974574029933245
"F1_lag1",0.955467565303219
"F3_lag2",0.942015441482517
"F2_lag2",0.939964770042908
"F5_lag1",0.921701814090199
"F5_lag2",0.915783755634785
"F2_lag1",0.914834437480156
"F4_lag1",0.910528548624254
"F1_lag2",0.908768241380966
"F3_lag1",0.89783713272694
"y_lag2",0.889697721474158
"F8_lag1",0.853187558897673
"F8_lag2",0.834468294566653
"F4_lag2",0.831007408782105
"F7_lag2",0.809247272220917
"F6_lag1",0.804590418817339
"F6_lag2",0.790604720955
"F7_lag1",0.777545141220897
