"date","TVP_2SRR","Ridge"
1999-06-01,1.00830742337748,0.801115727423314
1999-07-01,0.97990763252682,0.801448777345327
1999-08-01,1.02264871217068,0.800068019796382
1999-09-01,1.02842757597744,0.799346131046776
1999-10-01,1.1213593984101,0.799014356144426
1999-11-01,1.11773489688116,0.798461063365841
1999-12-01,1.08556490428129,0.798194178822003
2000-01-01,1.05604984303129,0.797867839845681
2000-02-01,1.03244221269918,0.795848518355283
2000-03-01,1.16488609434232,0.79775192884505
2000-04-01,1.40390054546535,0.798806267831216
2000-05-01,1.41520773447081,0.792586839768306
2000-06-01,1.43342220233331,0.792171992856003
2000-07-01,1.45362066916231,0.794413743741535
2000-08-01,1.44159981164938,0.785729746636153
2000-09-01,1.4317543854604,0.792055855758933
2000-10-01,1.43479324764022,0.790241340875236
2000-11-01,1.4561406502652,0.788713892261055
2000-12-01,1.45081100051762,0.788897229424081
2001-01-01,1.46594487045967,0.787070863573878
2001-02-01,1.32830926691329,0.787856578549393
2001-03-01,1.30653716644881,0.783604061696261
2001-04-01,1.38021874152992,0.783827877171997
2001-05-01,1.38677656511837,0.728801164674584
2001-06-01,1.38758171694037,0.729288348681931
2001-07-01,1.39142228216127,0.778010816133909
2001-08-01,1.42015200569713,0.724495925217249
2001-09-01,1.4432935372714,0.776026998518926
2001-10-01,1.41129620367887,0.752784815600925
2001-11-01,1.2825436781199,0.751326652462321
2001-12-01,1.10862359428149,0.752512268070172
2002-01-01,0.97506957769745,0.746433383808539
2002-02-01,1.0125696516019,0.743047795668001
2002-03-01,1.05242017564026,0.735903218947515
2002-04-01,1.06562839874188,0.735743577535633
2002-05-01,1.05784498981253,0.733512578884236
2002-06-01,1.1006401913954,0.735342109962851
2002-07-01,1.10078328586911,0.735920166438091
2002-08-01,1.08113448923692,0.732391313950063
2002-09-01,1.05995286110955,0.733489400424116
2002-10-01,1.04502532878021,0.732771115943711
2002-11-01,1.00959332480936,0.737801456911857
2002-12-01,1.05916633173828,0.736521673631597
2003-01-01,1.09045293885953,0.738643532632852
2003-02-01,1.08055424335449,0.738179713278332
2003-03-01,1.08587890695643,0.738270380016556
2003-04-01,1.06933566645763,0.735442535605864
2003-05-01,1.04484881410001,0.694668000720433
2003-06-01,1.01519756256499,0.694021093426375
2003-07-01,0.835567786331681,0.692872921236279
2003-08-01,0.835933215128434,0.696145027276999
2003-09-01,0.788724127498478,0.693623041274496
2003-10-01,0.772137553667202,0.692994673972128
2003-11-01,0.725333182493836,0.690733681865392
2003-12-01,0.715627417095004,0.689816896014043
2004-01-01,0.724743210095062,0.690135174575775
2004-02-01,0.734260442507195,0.690081350795118
2004-03-01,0.740379441004689,0.687758063520774
2004-04-01,0.736727157446548,0.686467199253047
2004-05-01,0.748818284146696,0.688115188212252
2004-06-01,0.793108967754941,0.689068834569803
2004-07-01,0.839097196671699,0.688153580201384
2004-08-01,0.839447272921599,0.686592720965002
2004-09-01,0.839068756331985,0.686567800077473
2004-10-01,0.807833481013997,0.686215802283856
2004-11-01,0.865477526190495,0.687751258602006
2004-12-01,0.899001804449884,0.688628593193632
2005-01-01,0.894483951877967,0.686766083613251
2005-02-01,0.890969920651702,0.685523861768395
2005-03-01,0.883716006176416,0.686187872318121
2005-04-01,0.882526014265847,0.685671750909317
2005-05-01,0.86828950276683,0.684726993869752
2005-06-01,0.887841202187955,0.684103254583081
2005-07-01,0.871771788703207,0.683935277403745
2005-08-01,0.845030031173684,0.683715540363676
2005-09-01,0.856451212792458,0.686978870268121
2005-10-01,0.704605918463451,0.686911184949909
2005-11-01,0.712242122749285,0.68513396848999
2005-12-01,0.709417260887985,0.684102598101149
2006-01-01,0.732187778504068,0.684469107470631
2006-02-01,0.742885036057772,0.68749500764289
2006-03-01,0.684707504440546,0.685883504524457
2006-04-01,0.68052012639186,0.685234177928395
2006-05-01,0.677876551223872,0.684359707700944
2006-06-01,0.745283776237522,0.68362694887594
2006-07-01,0.729544380703062,0.683775522138691
2006-08-01,0.73287889007427,0.682861999249054
2006-09-01,0.658721694221508,0.68035279022897
2006-10-01,0.714706770036638,0.676952380998383
2006-11-01,0.764140799239386,0.670293186705434
