"date","ganho","delta_lam"
"1999-07-01",0.0478977883507356,140389.526866925
"1999-08-01",0.00462855409556887,140613.837288975
"1999-09-01",-0.0294869462091101,140826.732865421
"1999-10-01",0.0127440095320679,141069.369189184
"1999-11-01",0.00779407857249814,141374.124956726
"1999-12-01",-0.00309093107677709,141496.74551653
"2000-01-01",-0.00183358059129467,141639.249955573
"2000-02-01",-0.0501964563178215,141779.05814939
"2000-03-01",-0.0365129298758596,141822.913215402
"2000-04-01",0.114721871285136,142106.112245138
"2000-05-01",-0.0234750786739278,142612.538307888
"2000-06-01",0.191938881050368,142687.540345571
"2000-07-01",0.0123901531115036,142816.866344485
"2000-08-01",0.075173854002916,142800.980007701
"2000-09-01",0.0351431608925006,142643.561398954
"2000-10-01",0.0120659431358712,143092.397192715
"2000-11-01",0.00424095847215958,143470.859488681
"2000-12-01",-0.00887134311656999,143464.310692338
"2001-01-01",-0.0398274228965943,143663.824664151
"2001-02-01",0.0372775008924923,143851.02713712
"2001-03-01",0.034889388037138,143634.066570057
"2001-04-01",0.00270122505727543,52728.3364586792
"2001-05-01",0.0727283773929188,143312.481309474
"2001-06-01",0.00402667898510313,143355.052113948
"2001-07-01",0.0614395237920045,142951.951245679
"2001-08-01",-0.00520879234825301,142016.740139611
"2001-09-01",0.136746012724577,141227.141433145
"2001-10-01",0.0532415512731354,141273.818816108
"2001-11-01",-0.483143731290296,140134.643296438
"2001-12-01",0.0013260187292801,139502.982571089
"2002-01-01",0.0267279724235494,139167.680609248
"2002-02-01",0.0142360952696547,139363.244546369
"2002-03-01",-0.0160765472398471,139395.352793789
"2002-04-01",-0.0108604721984895,139537.791083799
"2002-05-01",0.0218710325049137,139762.753920601
"2002-06-01",0.00214385180822152,139900.815865741
"2002-07-01",0.0246219177776426,139679.98907352
"2002-08-01",0.0278852005743789,139779.058372756
"2002-09-01",-0.00277440894698444,139841.145033177
"2002-10-01",0.00245449862041694,139842.742423594
"2002-11-01",-0.00460849305164362,140010.462225354
"2002-12-01",0.00161410933460767,139889.01357821
"2003-01-01",0.0236563923658482,139912.548307351
"2003-02-01",-0.0101921813411119,140346.794589236
"2003-03-01",5.1561831931498e-05,140449.406786082
"2003-04-01",0.0684845543582431,140299.225692235
"2003-05-01",0.00637015784267911,140033.875103244
"2003-06-01",-0.0295907813058481,139449.073199404
"2003-07-01",0.0244394497171288,139598.680019499
"2003-08-01",-0.00497619650992292,139788.194966465
"2003-09-01",-0.000551181661250718,140026.174209678
