"date","y_real","fc_2srr","fc_ridge","e_2srr","e_ridge"
1999-07-01,0.239664584460009,0.311083416623505,0.306678589925057,0.0714188321634963,0.0670140054650479
1999-08-01,0.41803584317579,0.310341599944738,0.197435603283625,-0.107694243231053,-0.220600239892165
1999-09-01,0.178624638146374,0.0932849126013256,0.277996841918294,-0.0853397255450485,0.0993722037719204
1999-10-01,0.178306139365603,0.255397993382828,0.304499238777123,0.077091854017225,0.12619309941152
1999-11-01,0.237248035363091,0.23028782211305,0.339797487939362,-0.00696021325004115,0.102549452576271
1999-12-01,0.295770697723263,0.306917008815734,0.272554948905011,0.0111463110924707,-0.0232157488182523
2000-01-01,0.41261479111725,0.194148314569467,0.274260098981667,-0.218466476547782,-0.138354692135583
2000-02-01,0.58651194523982,0.196166448058992,0.293537903538719,-0.390345497180829,-0.292974041701102
2000-03-01,-0.0584966381114604,0.228734666914317,0.35605615144764,0.287231305025778,0.414552789559101
2000-04-01,0.17538735860958,0.209609588981009,0.29490845988202,0.0342222303714292,0.11952110127244
2000-05-01,0.582412828598855,0.133788130405932,0.362807686904414,-0.448624698192923,-0.219605141694441
2000-06-01,0.289939315900245,0.383686297675824,0.259819175069169,0.0937469817755786,-0.0301201408310765
2000-07-01,0,0.0695391893899988,0.164489157867717,0.0695391893899988,0.164489157867717
2000-08-01,0.519781707361755,-0.0244330726989473,0.253973143017733,-0.544214780060702,-0.265808564344022
2000-09-01,0.172661913398731,0.369163942982702,0.375352823841711,0.196502029583972,0.20269091044298
2000-10-01,0.172364305816508,0.267226938232929,0.214064425533202,0.0948626324164208,0.0417001197166942
2000-11-01,0.229357898709903,0.0870592748677605,0.279307920733991,-0.142298623842143,0.0499500220240875
2000-12-01,0.571103779551496,0.397407244143274,0.345220881323004,-0.173696535408222,-0.225882898228492
2001-01-01,0.227531383713497,0.196406728295452,0.213677920520603,-0.031124655418045,-0.0138534631928942
2001-02-01,0.0568020464008612,0.252037999195501,0.246288342310523,0.19523595279464,0.189486295909662
2001-03-01,0.170212807053094,0.256165975651469,0.413917981768848,0.0859531685983749,0.243705174715754
2001-04-01,0.508906950747168,0.310315433867691,0.349980870490619,-0.198591516879476,-0.158926080256549
2001-05-01,0.225352208044338,0.172579559497548,0.0939175238666686,-0.0527726485467904,-0.13143468417767
2001-06-01,-0.168966528512726,0.142161544317975,0.112114884776622,0.311128072830701,0.281081413289348
2001-07-01,0,0.110668364126541,0.239641506089599,0.110668364126541,0.239641506089599
2001-08-01,0.393812042013764,0.167173605493639,0.217849392779563,-0.226638436520124,-0.1759626492342
2001-09-01,-0.281135973754676,0.259057783212011,0.0229193867228164,0.540193756966687,0.304055360477492
2001-10-01,-0.0563221642599032,0.125661721574905,-0.000794467086310709,0.181983885834808,0.0555276971735925
2001-11-01,-0.0563539039991845,0.0171253316787047,-0.00703189727534365,0.0734792356778892,0.0493220067238408
2001-12-01,0.168966528512726,-0.00832154218289662,0.0902428279850729,-0.177288070695623,-0.0787237005276533
2002-01-01,0.168681513147906,-0.0501337443115454,-0.346217852107159,-0.218815257459451,-0.514899365255065
2002-02-01,0.28050509276083,0.0609755936192637,0.0589610957687329,-0.219529499141566,-0.221543996992097
2002-03-01,0.447177939139376,-0.0758483080963274,0.084300841085392,-0.523026247235703,-0.362877098053984
2002-04-01,0.11148273172461,0.060720362647424,0.119550004204223,-0.0507623690771863,0.00806727247961317
2002-05-01,0.0556947939766239,0.122351894821487,0.133029722430912,0.0666571008448632,0.0773349284542881
2002-06-01,0.222469502211098,0.158011498815817,0.258628623144861,-0.0644580033952804,0.0361591209337633
2002-07-01,0.27739268827256,0.249708652211849,0.171716330196046,-0.0276840360607112,-0.105676358076514
2002-08-01,0.166067018514049,0.211519360680874,0.0722541316413508,0.0454523421668255,-0.0938128868726981
2002-09-01,0.220994565080268,0.181316160725493,0.105079327263699,-0.0396784043547748,-0.115915237816569
2002-10-01,0.165426009602587,0.156968608051234,0.18719363996991,-0.00845740155135352,0.0217676303673228
2002-11-01,0.165152803847324,0.230853136471337,0.175809542164822,0.0657003326240129,0.010656738317498
2002-12-01,0.439078641749013,0.247527921091029,0.221623891141842,-0.191550720657984,-0.217454750607171
2003-01-01,0.546151002552175,0.156735138921226,0.214187705814965,-0.38941586363095,-0.331963296737211
2003-02-01,0.163265342388552,0.205721254303182,0.169125337485177,0.04245591191463,0.00585999509662477
2003-03-01,-0.381367937024546,0.0943063829816962,0.194721867643826,0.475674320006242,0.576089804668372
2003-04-01,-0.163889684321017,0.191960851678035,0.309776877684642,0.355850535999052,0.473666562005659
2003-05-01,0.109289628364451,0.218322220346282,0.216421498623911,0.109032591981832,0.107131870259461
2003-06-01,0.327154054061563,0.538405517130628,0.0856186137265495,0.211251463069065,-0.241535440335013
2003-07-01,0.434547125950147,0.353399345204605,0.0238488650832722,-0.0811477807455414,-0.410698260866874
2003-08-01,0.324675609887048,0.197050765793425,0.131796735802564,-0.127624844093624,-0.192878874084484
2003-09-01,-0.108108118637329,0.230686002468869,0.246508748184505,0.338794121106198,0.354616866821834
2003-10-01,0.0540686685245539,0.123975205963847,0.32911339699269,0.0699065374392926,0.275044728468136
2003-11-01,0.269905696916517,0.0479200316557266,0.255541638627395,-0.22198566526079,-0.0143640582891221
2003-12-01,0.430339556005332,0.251045351375527,0.103887457611211,-0.179294204629805,-0.326452098394121
2004-01-01,0.21447729401336,0.327921468529191,0.116243140873829,0.113444174515831,-0.0982341531395306
2004-02-01,0.214018273236771,0.185233493847475,0.218861788554261,-0.0287847793892967,0.00484351531749014
2004-03-01,0.160213652427732,0.109035058402896,0.283282818815097,-0.051178594024836,0.123069166387365
2004-04-01,0.425985734695811,0.239536606610956,0.262591654659424,-0.186449128084855,-0.163394080036386
2004-05-01,0.371254735618454,0.255877876499793,0.261319737571241,-0.11537685911866,-0.109934998047212
2004-06-01,0.105820115694755,0.314889133289791,0.236458222906913,0.209069017595036,0.130638107212159
2004-07-01,0.0528680953365779,0.20308022980045,0.301140063792471,0.150212134463872,0.248271968455893
2004-08-01,0.316622955805013,0.0329866744197411,0.303143509659198,-0.283636281385272,-0.0134794461458147
2004-09-01,0.525487283835879,0.227155554154533,0.166950517408167,-0.298331729681346,-0.358536766427712
2004-10-01,0.470589103741226,0.263298635734626,0.107889907488616,-0.207290468006599,-0.36269919625261
2004-11-01,0,0.236269906028271,0.232059972729964,0.236269906028271,0.232059972729964
2004-12-01,-0.0521784514838863,0.17191626483112,0.350467828915048,0.224094716315007,0.402646280398935
2005-01-01,0.416667269484616,0.130626678978221,0.387846803790453,-0.286040590506395,-0.0288204656941631
2005-02-01,0.363165120286268,0.460966648429138,0.336976992544005,0.0978015281428698,-0.0261881277422633
2005-03-01,0.310238097848181,0.389296347040507,0.176197085036976,0.0790582491923263,-0.134041012811205
2005-04-01,-0.0516395570473449,0.245375569523377,0.197430887618754,0.297015126570721,0.249070444666099
2005-05-01,0.0516395570473449,0.138660615552487,0.331342114392173,0.0870210585051424,0.279702557344829
2005-06-01,0.617603610056427,0.236963674352387,0.358682497957083,-0.380639935704041,-0.258921112099345
2005-07-01,0.613812668878566,0.35599526622418,0.231648315099336,-0.257817402654386,-0.382164353779231
2005-08-01,1.36745610201734,0.466837244588853,0.214034342106626,-0.900618857428487,-1.15342175991071
2005-09-01,0.150791684767704,0.199490620467966,0.389836657205344,0.048698935700262,0.23904497243764
2005-10-01,-0.503525736564558,0.118883385714566,0.460397241748732,0.622409122279124,0.96392297831329
2005-11-01,0,0.0109240988019397,0.652077130210771,0.0109240988019397,0.652077130210771
2005-12-01,0.60392735142436,-0.0148896631429098,0.503844608124196,-0.61881701456727,-0.100082743300164
2006-01-01,0.0501630308988865,0.737966430701022,0.249940416858179,0.687803399802136,0.199777385959293
2006-02-01,0.150338289403162,0.788305391044698,0.198799172007652,0.637967101641536,0.0484608826044891
2006-03-01,0.499501538052272,0.438934455182463,0.395985752186387,-0.0605670828698087,-0.103515785865884
2006-04-01,0.298507684345406,0.425602544776034,0.398323578173097,0.127094860430628,0.0998158938276913
2006-05-01,0.248077527376278,0.382843547482403,0.312947583941383,0.134766020106125,0.0648700565651048
2006-06-01,0.543613891225991,0.192206321894498,0.379953709835641,-0.351407569331494,-0.163660181390351
2006-07-01,0.442587395685567,0.1284560690764,0.358169450254623,-0.314131326609167,-0.0844179454309443
2006-08-01,-0.491884907159612,0.311950175831381,0.283912233850183,0.803835082990993,0.775797141009795
2006-09-01,-0.444774639823642,0.191417029201107,0.325393001347561,0.636191669024749,0.770167641171203
2006-10-01,0.049517208241312,-0.0123283007736296,0.324685055827038,-0.0618455090149416,0.275167847585726
2006-11-01,0.543077118513402,0.592348900831955,0.25612637685261,0.0492717823185534,-0.286950741660792
2006-12-01,0.165790605623251,0.625660331745756,0.134191679795388,0.459869726122505,-0.0315989258278624
