"date","y_real","fc_2srr","fc_ridge","e2srr","eridge","e2srr_sq","eridge_sq"
1999-07-01,0.239664584460009,NA,0.306678589925057,NA,0.0670140054650479,NA,0.00449087692846947
1999-08-01,0.41803584317579,NA,0.197435603283625,NA,-0.220600239892165,NA,0.0486644658404806
1999-09-01,0.178624638146374,NA,0.277996841918294,NA,0.0993722037719204,NA,0.00987483488248806
1999-10-01,0.178306139365603,NA,0.304499238777123,NA,0.12619309941152,NA,0.0159246983390858
1999-11-01,0.237248035363091,NA,0.339797487939362,NA,0.102549452576271,NA,0.0105163902236928
1999-12-01,0.295770697723263,NA,0.272554948905011,NA,-0.0232157488182523,NA,0.000538970993192182
2000-01-01,0.41261479111725,NA,0.274260098981667,NA,-0.138354692135583,NA,0.0191420208359319
2000-02-01,0.58651194523982,NA,0.293537903538719,NA,-0.292974041701102,NA,0.0858337891106788
2000-03-01,-0.0584966381114604,NA,0.35605615144764,NA,0.414552789559101,NA,0.171854015331232
2000-04-01,0.17538735860958,NA,0.29490845988202,NA,0.11952110127244,NA,0.0142852936493769
2000-05-01,0.582412828598855,NA,0.362807686904414,NA,-0.219605141694441,NA,0.0482264182586357
2000-06-01,0.289939315900245,NA,0.259819175069169,NA,-0.0301201408310765,NA,0.000907222883683882
2000-07-01,0,NA,0.164489157867717,NA,0.164489157867717,NA,0.0270566830560308
2000-08-01,0.519781707361755,NA,0.253973143017733,NA,-0.265808564344022,NA,0.0706541928786303
2000-09-01,0.172661913398731,NA,0.375352823841711,NA,0.20269091044298,NA,0.0410836051762042
2000-10-01,0.172364305816508,NA,0.214064425533202,NA,0.0417001197166942,NA,0.00173889998438662
2000-11-01,0.229357898709903,NA,0.279307920733991,NA,0.0499500220240875,NA,0.00249500470020683
2000-12-01,0.571103779551496,NA,0.345220881323004,NA,-0.225882898228492,NA,0.0510230837121035
2001-01-01,0.227531383713497,NA,0.213677920520603,NA,-0.0138534631928942,NA,0.000191918442436873
2001-02-01,0.0568020464008612,NA,0.246288342310523,NA,0.189486295909662,NA,0.0359050563375638
2001-03-01,0.170212807053094,NA,0.413917981768848,NA,0.243705174715754,NA,0.059392212183236
2001-04-01,0.508906950747168,NA,0.349980870490619,NA,-0.158926080256549,NA,0.0252574989857109
2001-05-01,0.225352208044338,NA,0.0939175238666686,NA,-0.13143468417767,NA,0.0172750762048838
2001-06-01,-0.168966528512726,NA,0.112114884776622,NA,0.281081413289348,NA,0.0790067608967374
2001-07-01,0,NA,0.239641506089599,NA,0.239641506089599,NA,0.0574280514408914
2001-08-01,0.393812042013764,NA,0.217849392779563,NA,-0.1759626492342,NA,0.0309628539255182
2001-09-01,-0.281135973754676,NA,0.0229193867228164,NA,0.304055360477492,NA,0.0924496622350978
2001-10-01,-0.0563221642599032,NA,-0.000794467086310709,NA,0.0555276971735925,NA,0.00308332515340219
2001-11-01,-0.0563539039991845,NA,-0.00703189727534365,NA,0.0493220067238408,NA,0.0024326603472666
2001-12-01,0.168966528512726,NA,0.0902428279850729,NA,-0.0787237005276533,NA,0.00619742102476763
2002-01-01,0.168681513147906,NA,-0.346217852107159,NA,-0.514899365255065,NA,0.265121356340069
2002-02-01,0.28050509276083,NA,0.0589610957687329,NA,-0.221543996992097,NA,0.0490817426032343
2002-03-01,0.447177939139376,NA,0.084300841085392,NA,-0.362877098053984,NA,0.131679788292081
2002-04-01,0.11148273172461,NA,0.119550004204223,NA,0.00806727247961317,NA,6.5080885260324e-05
2002-05-01,0.0556947939766239,NA,0.133029722430912,NA,0.0773349284542881,NA,0.00598069115902986
2002-06-01,0.222469502211098,NA,0.258628623144861,NA,0.0361591209337633,NA,0.00130748202670252
2002-07-01,0.27739268827256,NA,0.171716330196046,NA,-0.105676358076514,NA,0.0111674926563156
2002-08-01,0.166067018514049,NA,0.0722541316413508,NA,-0.0938128868726981,NA,0.00880085774338966
2002-09-01,0.220994565080268,NA,0.105079327263699,NA,-0.115915237816569,NA,0.0134363423580717
2002-10-01,0.165426009602587,NA,0.18719363996991,NA,0.0217676303673228,NA,0.000473829731808393
2002-11-01,0.165152803847324,NA,0.175809542164822,NA,0.010656738317498,NA,0.00011356607156763
2002-12-01,0.439078641749013,NA,0.221623891141842,NA,-0.217454750607171,NA,0.0472865685616271
2003-01-01,0.546151002552175,NA,0.214187705814965,NA,-0.331963296737211,NA,0.110199630380637
2003-02-01,0.163265342388552,NA,0.169125337485177,NA,0.00585999509662477,NA,3.43395425324664e-05
2003-03-01,-0.381367937024546,NA,0.194721867643826,NA,0.576089804668372,NA,0.331879463042844
2003-04-01,-0.163889684321017,NA,0.309776877684642,NA,0.473666562005659,NA,0.224360011962261
2003-05-01,0.109289628364451,NA,0.216421498623911,NA,0.107131870259461,NA,0.0114772376252899
2003-06-01,0.327154054061563,NA,0.0856186137265495,NA,-0.241535440335013,NA,0.0583393689378286
2003-07-01,0.434547125950147,NA,0.0238488650832722,NA,-0.410698260866874,NA,0.168673061479075
2003-08-01,0.324675609887048,NA,0.131796735802564,NA,-0.192878874084484,NA,0.0372022600680984
2003-09-01,-0.108108118637329,NA,0.246508748184505,NA,0.354616866821834,NA,0.125753122234535
2003-10-01,0.0540686685245539,NA,0.32911339699269,NA,0.275044728468136,NA,0.0756496026581105
2003-11-01,0.269905696916517,NA,0.255541638627395,NA,-0.0143640582891221,NA,0.000206326170533298
2003-12-01,0.430339556005332,NA,0.103887457611211,NA,-0.326452098394121,NA,0.106570972545925
2004-01-01,0.21447729401336,NA,0.116243140873829,NA,-0.0982341531395306,NA,0.00964994884304074
2004-02-01,0.214018273236771,NA,0.218861788554261,NA,0.00484351531749014,NA,2.34596406307616e-05
2004-03-01,0.160213652427732,NA,0.283282818815097,NA,0.123069166387365,NA,0.015146019715281
2004-04-01,0.425985734695811,NA,0.262591654659424,NA,-0.163394080036386,NA,0.026697625390937
2004-05-01,0.371254735618454,NA,0.261319737571241,NA,-0.109934998047212,NA,0.0120857037956406
2004-06-01,0.105820115694755,NA,0.236458222906913,NA,0.130638107212159,NA,0.0170663150559755
2004-07-01,0.0528680953365779,NA,0.301140063792471,NA,0.248271968455893,NA,0.0616389703209639
2004-08-01,0.316622955805013,NA,0.303143509659198,NA,-0.0134794461458147,NA,0.000181695468397919
2004-09-01,0.525487283835879,NA,0.166950517408167,NA,-0.358536766427712,NA,0.12854861288044
2004-10-01,0.470589103741226,NA,0.107889907488616,NA,-0.36269919625261,NA,0.131550706962289
2004-11-01,0,NA,0.232059972729964,NA,0.232059972729964,NA,0.0538518309434318
2004-12-01,-0.0521784514838863,NA,0.350467828915048,NA,0.402646280398935,NA,0.162124027119097
2005-01-01,0.416667269484616,NA,0.387846803790453,NA,-0.0288204656941631,NA,0.000830619242828431
2005-02-01,0.363165120286268,NA,0.336976992544005,NA,-0.0261881277422633,NA,0.000685818034645101
2005-03-01,0.310238097848181,NA,0.176197085036976,NA,-0.134041012811205,NA,0.0179669931154536
2005-04-01,-0.0516395570473449,NA,0.197430887618754,NA,0.249070444666099,NA,0.0620360864061682
2005-05-01,0.0516395570473449,NA,0.331342114392173,NA,0.279702557344829,NA,0.0782335205852371
2005-06-01,0.617603610056427,NA,0.358682497957083,NA,-0.258921112099345,NA,0.0670401422907614
2005-07-01,0.613812668878566,NA,0.231648315099336,NA,-0.382164353779231,NA,0.146049593299497
2005-08-01,1.36745610201734,NA,0.214034342106626,NA,-1.15342175991071,NA,1.33038175623553
2005-09-01,0.150791684767704,NA,0.389836657205344,NA,0.23904497243764,NA,0.0571424988477121
2005-10-01,-0.503525736564558,NA,0.460397241748732,NA,0.96392297831329,NA,0.929147508120364
2005-11-01,0,NA,0.652077130210771,NA,0.652077130210771,NA,0.425204583743915
2005-12-01,0.60392735142436,NA,0.503844608124196,NA,-0.100082743300164,NA,0.0100165555064865
2006-01-01,0.0501630308988865,NA,0.249940416858179,NA,0.199777385959293,NA,0.0399110039407282
2006-02-01,0.150338289403162,NA,0.198799172007652,NA,0.0484608826044891,NA,0.00234845714280608
2006-03-01,0.499501538052272,NA,0.395985752186387,NA,-0.103515785865884,NA,0.0107155179234316
2006-04-01,0.298507684345406,NA,0.398323578173097,NA,0.0998158938276913,NA,0.00996321266062094
2006-05-01,0.248077527376278,NA,0.312947583941383,NA,0.0648700565651048,NA,0.0042081242387599
2006-06-01,0.543613891225991,NA,0.379953709835641,NA,-0.163660181390351,NA,0.0267846549727225
2006-07-01,0.442587395685567,NA,0.358169450254623,NA,-0.0844179454309443,NA,0.00712638951078189
2006-08-01,-0.491884907159612,NA,0.283912233850183,NA,0.775797141009795,NA,0.601861203998972
2006-09-01,-0.444774639823642,NA,0.325393001347561,NA,0.770167641171203,NA,0.593158195507215
2006-10-01,0.049517208241312,NA,0.324685055827038,NA,0.275167847585726,NA,0.0757173443449615
2006-11-01,0.543077118513402,NA,0.25612637685261,NA,-0.286950741660792,NA,0.0823407281396786
2006-12-01,0.165790605623251,NA,0.134191679795388,NA,-0.0315989258278624,NA,0.000998492113474752
2007-01-01,0.387084913353952,NA,0.17374795285963,NA,-0.213336960494322,NA,0.0455126587129558
2007-02-01,0.518664749319964,NA,0.299041896394961,NA,-0.219622852925003,NA,0.0482341975269175
2007-03-01,0.299616948199866,NA,0.390440014855368,NA,0.0908230666555021,NA,0.00824882943670978
2007-04-01,0.412447665692373,NA,0.317560117646208,NA,-0.0948875480461644,NA,0.00900364677421316
2007-05-01,0.2314072179459,NA,0.340540923852032,NA,0.109133705906132,NA,0.0119101657648061
2007-06-01,0.1779012466681,NA,0.337375345758146,NA,0.159474099090046,NA,0.0254319882805819
2007-07-01,0.0308233200118302,NA,0.346077501426744,NA,0.315254181414914,NA,0.0993851988995874
2007-08-01,0.422860024543859,NA,0.275585767193543,NA,-0.147274257350316,NA,0.021689706878087
2007-09-01,0.307849440109909,NA,0.218766155903562,NA,-0.089083284206347,NA,0.00793583152498879
2007-10-01,0.782816408287346,NA,0.164867351816546,NA,-0.6179490564708,NA,0.381861036393152
2007-11-01,0.289382340294875,NA,0.211474837566937,NA,-0.077907502727938,NA,0.00606957898130367
2007-12-01,0.344177536717361,NA,0.276353509403789,NA,-0.0678240273135714,NA,0.00460009868103208
2008-01-01,0.241490863745408,NA,0.32372387612392,NA,0.0822330123785121,NA,0.00676226832484452
2008-02-01,0.357164189274517,NA,0.303910453095972,NA,-0.0532537361785445,NA,0.00283596041697402
2008-03-01,0.231170696550809,NA,0.183654042742285,NA,-0.0475166538085239,NA,0.00225783238915911
2008-04-01,0.590005206812361,NA,0.130859306657303,NA,-0.459145900155058,NA,0.210814957629198
2008-05-01,1.04237187971661,NA,0.139274071040939,NA,-0.903097808675669,NA,0.815585652034795
2008-06-01,0.711606539350473,NA,0.142701127264442,NA,-0.568905412086032,NA,0.323653367900777
2008-07-01,-0.14895846082954,NA,0.228972406023862,NA,0.377930866853402,NA,0.142831740120564
2008-08-01,0.0854726299673203,NA,0.348277217590568,NA,0.262804587623248,NA,0.0690662512758254
2008-09-01,-0.863561639955801,NA,0.201659434920239,NA,1.06522107487604,NA,1.13469593836007
