"t","intercept","y_lag1","y_lag2","F1_lag1","F2_lag1","F3_lag1","F4_lag1","F5_lag1","F6_lag1","F7_lag1","F8_lag1","F1_lag2","F2_lag2","F3_lag2","F4_lag2","F5_lag2","F6_lag2","F7_lag2","F8_lag2","date"
474,0.31982720955693,0.0300478752727264,0.0972148900645849,-0.0109943923312625,0.0329257891135826,-0.000236790954950088,-0.0149599093402085,-0.0171943122412491,-0.014181672243372,0.0011705559824123,-0.0136999115027569,-0.000865501997435302,0.0172988130612655,-0.00316302233006417,0.00536147528954881,0.0046419400380559,-0.00650651383860029,-0.00945133365188433,-0.00790581845895795,1999-06-01
475,0.318868216775796,0.0337580950188524,0.0943567258826151,-0.0113200363096294,0.0331473500366304,-0.000395379115367353,-0.0153164577407639,-0.0170736667191464,-0.0141616924937853,0.00107213734212894,-0.0140887935042288,-0.000593850770948733,0.0169045906994676,-0.0030118024536981,0.00568062086560982,0.00457131903474088,-0.00662585018470191,-0.0094371522219196,-0.00787020004733066,1999-07-01
476,0.320743469779108,0.0316569156280848,0.0925116316080831,-0.0113929697735305,0.0331038216620541,-0.000357710461522059,-0.0148195337467629,-0.0173908972891296,-0.0142765278623274,0.000876164153087082,-0.01324264686714,-0.000539840277169306,0.0171077879012977,-0.00284765266621456,0.00558350394999382,0.00479604429038662,-0.00665709763667928,-0.0093029809041355,-0.00776384571163509,1999-08-01
477,0.32048710108755,0.0312038592353704,0.093264036564983,-0.011341151468806,0.0330366192238478,-0.000224021814764604,-0.0147082252343774,-0.0175306785181817,-0.0143087669924393,0.0011210674082636,-0.012881967706129,-0.00058077768279892,0.0171123818163382,-0.00273644235415443,0.00528971730340116,0.00509520765177526,-0.00680998634876245,-0.00919017118304628,-0.00790313570752479,1999-09-01
478,0.320529188278694,0.0301634299192121,0.0941046689097268,-0.0113719868962911,0.0329976258229373,-0.000200630318443599,-0.0146341555215624,-0.0176157979230819,-0.0142090101713313,0.00112348886237929,-0.0127735669405532,-0.00061417367427296,0.0171279299286318,-0.00281381837681743,0.00527382771562554,0.00518390849932742,-0.00679013823014706,-0.00920210949611543,-0.00793706293305604,1999-10-01
479,0.319182026172566,0.0308214971307345,0.0955929916719424,-0.011298734590435,0.03282976728549,-7.64543852639662e-05,-0.0146134343183544,-0.0175074352944035,-0.0144358400078549,0.000897697447153376,-0.0129668080544148,-0.000668731101310601,0.0170977846801785,-0.00293039654057429,0.00523489250714854,0.00525652140619238,-0.00686758831768052,-0.00934189249909675,-0.0081289370073454,1999-11-01
480,0.318841358858732,0.0308664422378573,0.0958424497191863,-0.0113562256849667,0.0328410459229702,-0.000165965724438745,-0.014621206325452,-0.0175648786489711,-0.0144706332571626,0.000772342575287515,-0.0130323246214821,-0.000617349428069903,0.0170221666773491,-0.00284317644565584,0.00520853329666982,0.00524630709478826,-0.00691828522536932,-0.00943896016271309,-0.00812767701890445,1999-12-01
481,0.319068977714724,0.0306202379957373,0.0954963443923922,-0.011420004330723,0.0328128519604873,-8.86667726005915e-05,-0.014498241859763,-0.0176110581492196,-0.0145721921593409,0.000836191484803938,-0.0131957108908097,-0.000595554912497111,0.0170311852756398,-0.00288590848785073,0.00526904655222829,0.00524659031440229,-0.00696867847333829,-0.00940834044440399,-0.00812474436682863,2000-01-01
482,0.316851150038249,0.0346487595851599,0.096714033251625,-0.0112836862262207,0.0326738826230364,-0.000244112231162277,-0.0144925778057182,-0.0175567938086707,-0.0151249082334867,0.000930241702686806,-0.0118321560596071,-0.000601221332479516,0.0167578386390019,-0.00261571434195825,0.00498006995232534,0.0054753449870687,-0.00705365531662093,-0.00946354851515439,-0.00826855256582989,2000-02-01
483,0.317446156350048,0.0345497053732027,0.0964703017049199,-0.0112000362976681,0.0326205067328661,-0.000347537295355863,-0.0143731094698852,-0.0175134457151442,-0.0151016018013895,0.00090672211716742,-0.0121322315680336,-0.00059335691821579,0.0168612591550143,-0.0025839270749809,0.00500062322644919,0.00537809048759119,-0.00714224628406319,-0.00944904393184847,-0.00825183682286572,2000-03-01
