"variable","periodo","data","V1","h1","h2","h3","h4","h5","h6","h7","h8","h9","h10","h11"
"PRECOS12_IPCA12","Crise 2002","out/2002",-0.1446,-0.173,-0.0171,-0.011,0.087,0.0929,0.0627,-0.0868,-0.0831,-0.063,-0.0276,-0.1006
"PRECOS12_IPCA12","Crise 2008","set/2008",0.0203,-0.1621,-7e-04,0.0061,0.0444,0.0456,0.0171,-0.0497,-0.0459,-0.0297,0.0064,-0.0543
"PRECOS12_IPCA12","Recessão 2015","jan/2015",0.1616,-0.0876,0.0768,0.0844,0.1015,-0.0014,-0.0288,-0.2035,-0.2006,-0.1727,-0.1364,-0.194
