"date","t","beta0","b1","b2","b3","b4","b5","b6","b7","b8","b9","b10","b11","b12","b13","b14","b15","b16","b17","b18"
"1999-06-01","474","0.342324382005643","0.0874407242414451","-0.0185147587831467","-0.00747509082739924","0.0336443328878188","-0.0095893407057892","-0.005368755699055","-0.000875714823065036","-0.0198959891758554","-0.00705218467667946","-0.00823971082311511","-0.00327524500376914","0.0162774537881112","0.00445184615236662","-0.00598215083151619","-0.0112093118935831","-0.00427111632095011","0.00812273388779165","-0.0135377120034742"
"1999-07-01","475","0.340231791583631","0.0840416381240096","-0.0130037188230631","-0.00713174196704528","0.0332357595938572","-0.0094282501164854","-0.0048822928444751","-0.000544628957902424","-0.0202434776788773","-0.00665039554821772","-0.00822655754147579","-0.00349146557211557","0.0165738299916824","0.00453635119181559","-0.00680241342858405","-0.011271749181834","-0.00417058363251882","0.00833906441740842","-0.0138008331920244"
"1999-08-01","476","0.340576257459186","0.082511324665058","-0.0116458776882226","-0.00699153770786668","0.0331049277107231","-0.00928280877597037","-0.00474641978763364","-0.000574410339088691","-0.0201628085350937","-0.00659786743468826","-0.00817819176052198","-0.00358582837426275","0.0167139911939908","0.00444088163389387","-0.00689405901417912","-0.0112724267583643","-0.00420280064625139","0.00829634321850304","-0.0135134049843622"
"1999-09-01","477","0.340694254967679","0.0823784565695336","-0.0120834627342476","-0.00695483750756783","0.0330891766334542","-0.00940701684982754","-0.00464213187361904","-0.00065253791975172","-0.0202718507885591","-0.00652581117106488","-0.00787469743433133","-0.00363461711369494","0.0167196761428565","0.00457148457161612","-0.00692081460263568","-0.0111715318316794","-0.00419269968688428","0.00823027665867849","-0.0139186981663302"
"1999-10-01","478","0.340875834193629","0.0840941493970426","-0.0135259463454301","-0.00680578098041887","0.0331764445181992","-0.00967200020877207","-0.00472641098561564","-0.000601440425332503","-0.0205112482764763","-0.00622728020495453","-0.0077566335681924","-0.00380209970607985","0.0165405681493649","0.0049660128211063","-0.00669628703219924","-0.0110758381962506","-0.0041606802888679","0.00786918923474387","-0.0141741505247015"
"1999-11-01","479","0.340309128894398","0.0850593752231262","-0.0142661349363069","-0.00690328064289853","0.0331554432609051","-0.00970860044084755","-0.00474462835055986","-0.000514122469944278","-0.0205928521102916","-0.00636406709890764","-0.007932829938048","-0.00381460650141464","0.0164844354481192","0.00504201398266575","-0.00668074069948148","-0.0111039212851756","-0.00413273124713687","0.00784116555368307","-0.014114119213773"
"1999-12-01","480","0.339081995622187","0.0862921269491599","-0.0136565005015079","-0.00679389718861594","0.0329905325246032","-0.00968517482127772","-0.00471762868667726","-0.000258015983977507","-0.0207960314376247","-0.00654628313830153","-0.00806946989063435","-0.00392529921653945","0.0164836514760682","0.00505651670141648","-0.00677343358871293","-0.0111962764702798","-0.00413194479307652","0.00769122724653176","-0.0141490648307719"
"2000-01-01","481","0.338881977968458","0.0864124861579726","-0.0134843885421555","-0.00686922314102574","0.0329781415542293","-0.00962196565066591","-0.00477435741655587","-0.000210959877862503","-0.020725166597427","-0.00670193642301079","-0.00802907615844958","-0.00384413987063042","0.016434568020526","0.00500200919013646","-0.00677202433106178","-0.0112968419607934","-0.00416198049060707","0.0076130988011091","-0.0138319131493658"
"2000-02-01","482","0.338922707053168","0.0860319569732398","-0.013180718653556","-0.00688413655082186","0.0329405885118714","-0.00960298530835162","-0.00469470019859159","-0.000237460960982666","-0.0207380296140909","-0.0065924618146017","-0.0081465059621035","-0.00386624484947882","0.0164302187922771","0.00501700324274859","-0.00658175964764817","-0.0112995366870678","-0.00424974751936367","0.00781443506760775","-0.0138318947547524"
"2000-03-01","483","0.337559598173505","0.0891519746984895","-0.0127647200438655","-0.00658656622209372","0.0328524404967817","-0.0104529791110258","-0.00473566670159059","-0.000318411699178354","-0.0217715239951315","-0.0060922758137732","-0.00701647045468895","-0.00407317177650012","0.0161481242396556","0.00574284639508202","-0.00677810315960836","-0.0110265015836136","-0.00451552190737127","0.0076676809108215","-0.0160952401607177"
"2000-04-01","484","0.337852806269344","0.0897515651462756","-0.0122326031832941","-0.00647509085545394","0.0327297813291467","-0.0104032674726289","-0.004320347635839","-0.000366679592534713","-0.0216783769819528","-0.00601389767017157","-0.00735227445642912","-0.00403578656604922","0.0162227479383873","0.00571201377763282","-0.00678853697816595","-0.01091813707287","-0.0048981746074411","0.00789712449823457","-0.0158240182796731"
"2000-05-01","485","0.338333876887544","0.0878576893514821","-0.0147955335100868","-0.0065951803258849","0.0327282175009901","-0.0103537546192439","-0.00460483018915987","-0.000100818946842918","-0.0221584077529396","-0.00646014459014646","-0.00840462040240277","-0.00414955295542628","0.0164145207847722","0.00568147855067768","-0.00706787425975176","-0.0106515653969464","-0.00520231964153976","0.00819505286945008","-0.0155506368407679"
"2000-06-01","486","0.336646490143351","0.0891141678983615","-0.0140206138042584","-0.00635875616995994","0.0325093622594363","-0.0109877990963459","-0.00424846892371412","0.000161971032263625","-0.0223102584547853","-0.00570897133271109","-0.00811794462624408","-0.00432108752753234","0.0164458291326733","0.00569808750871488","-0.00814493366861974","-0.0108060303763451","-0.00551403150823179","0.00933308499047137","-0.0161444949536485"
"2000-07-01","487","0.337272891328066","0.0888565815821763","-0.0131641949226319","-0.00598984143509034","0.0320291432832345","-0.0112729842109207","-0.00352302077099245","0.00104976057901566","-0.02288806890093","-0.00484453120429089","-0.00796598641067063","-0.00466043208824798","0.0168081079522743","0.00573953494201028","-0.00862870993170785","-0.0112798843643081","-0.0052255876294662","0.00866401664285998","-0.0171343684395432"
"2000-08-01","488","0.337268096806478","0.0884404708411438","-0.0124294878886285","-0.00609706751632742","0.0320687239213988","-0.0110526527749156","-0.00329013224672682","0.00122175641395077","-0.0226033757053142","-0.00568549671593101","-0.00753995732121694","-0.00448856850465014","0.0166624167594994","0.00555166035308587","-0.00865367620140763","-0.0109993250387417","-0.00554083745171815","0.0085110402014112","-0.0172176587075249"
"2000-09-01","489","0.336272774863657","0.0882567874190145","-0.0122540956135959","-0.0062095238485244","0.0317356498504374","-0.0105838589527977","-0.0031447565227572","0.0019578277802687","-0.0226742632634949","-0.00587796401166189","-0.00803270295831154","-0.00415992371710727","0.0169865672457898","0.00498302044769891","-0.00924723935779437","-0.0115158060230559","-0.0055413305667313","0.00894151868524422","-0.0178197135650332"
"2000-10-01","490","0.336220754417195","0.09030284784703","-0.0127580155461621","-0.00615782330647975","0.0315944938320126","-0.0106787841849611","-0.00283328857866216","0.00237557995280366","-0.0230201075616776","-0.00556211350205426","-0.00769399055578665","-0.00418706206627944","0.0169951850206419","0.0049354142529105","-0.00946448080927322","-0.011681275280248","-0.00520907324703096","0.00897346961598993","-0.0182997455162291"
"2000-11-01","491","0.335182490878282","0.0915995107302548","-0.0122805678715892","-0.00608825068555984","0.0315387234993732","-0.0106632204700973","-0.00287512279334535","0.0024395402549331","-0.0229758059489258","-0.00568215469023685","-0.00755960225891818","-0.00413432414609652","0.0169714522383901","0.00510652689596229","-0.00965367712352476","-0.0115653446623761","-0.00520905917672704","0.0086881016161071","-0.0183457585407199"
"2000-12-01","492","0.334158598360129","0.092671645089178","-0.0118883232057233","-0.00605286628323453","0.0313571445239786","-0.0107845331072706","-0.00275760742007884","0.00266508842829167","-0.0231454500453806","-0.00561483908869175","-0.00737908461280437","-0.00410706885868598","0.0170406045135239","0.0053664822076239","-0.00994201771072132","-0.0117868033725463","-0.0050513644535057","0.00866905183844942","-0.0186492673328561"
"2001-01-01","493","0.333402788325845","0.09298530224347","-0.0110745035591864","-0.006115260607719","0.0313403519941598","-0.0105834641152367","-0.00299565425432165","0.00248798197531125","-0.0230028939920783","-0.00586471111176781","-0.00781077306738269","-0.00396396456834459","0.0169554959456514","0.00508660327064009","-0.00972460886235789","-0.0116128148839022","-0.00512838751502592","0.00859638522864542","-0.0184539578717022"
"2001-02-01","494","0.334362645837705","0.0922553648553817","-0.0104780383983029","-0.00618361674263848","0.0315005113010698","-0.0108808020411122","-0.00259880483906264","0.00246910283758148","-0.0231113949895639","-0.00599619843515539","-0.00724538622746349","-0.00413119409033277","0.0167552765201976","0.00523721199372002","-0.00944463111197375","-0.0113659292779107","-0.00451749102843833","0.00839542032880009","-0.0186405492487614"
"2001-03-01","495","0.333488531696851","0.091967175389318","-0.00859974720306236","-0.00628049909435638","0.0313216276415902","-0.0105728044446729","-0.00282982773606374","0.00239520598367981","-0.0227013471260732","-0.00583286492629662","-0.00857362614804676","-0.00385133141353919","0.0168493326053696","0.00487752992792252","-0.00925571167219288","-0.0114988220894818","-0.00446193992821172","0.00887898865254072","-0.0177788507590355"
"2001-04-01","496","0.330702398587098","0.0892320478685181","-0.00180995310730252","-0.00613879028028565","0.0306447539112714","-0.00900898178193321","-0.00293782320475533","0.00254859371038288","-0.0209080344839736","-0.00729438575555271","-0.0103345814977553","-0.00341024576276477","0.0175256982983155","0.00400757246169067","-0.00899606194909204","-0.0114169760622616","-0.00584515362257023","0.00846037565707709","-0.0154912612576716"
"2001-05-01","497","0.330435736793702","0.0888733340543615","-0.00268054419429444","-0.00594268232890466","0.0309539003983966","-0.00952696482179557","-0.00292342508593854","0.0021241408484094","-0.0209812955364711","-0.00689068962625563","-0.010725272662934","-0.00339460924306771","0.0173852333307648","0.00467738346232937","-0.00894627617853623","-0.0109987627597111","-0.00485395121656247","0.00837281659572972","-0.0167514817071106"
"2001-06-01","498","0.32844660336308","0.093997317688745","-0.000312763071398283","-0.00558758208321723","0.0305949239495069","-0.0102416736326004","-0.00204370952716254","-0.00292440875438173","0.0216184822679324","0.00655675511908786","0.00937888794469681","-0.00376877253198628","0.0170015466145483","0.00534246888169827","-0.00897170755098864","0.0108802958119722","0.00435039740152153","-0.00738086393764172","0.0179999952380095"
"2001-07-01","499","0.327542727618477","0.0934821198086901","0.00226774016004986","-0.00560972149065709","0.0305107868438018","-0.0097621470105113","-0.00208833982286415","-0.00275298240224215","0.0211836223435132","0.00678463549497189","0.0098850568443571","-0.00347837701681021","0.0169348069368746","0.0048952606900221","-0.00861427484867989","0.0107611253876169","0.00461326299456618","-0.00751337804206984","0.0168377841712657"
"2001-08-01","500","0.327438164963882","0.0875693964419894","0.0041813852156525","-0.00561355804266258","0.0307625224064049","-0.00958504204680606","-0.00208237244423057","0.00320189654807176","-0.0207071868390725","-0.00734939092883656","-0.0108158100422307","-0.00298592313304955","0.017190532788627","0.00462229260618602","-0.00873788734489463","-0.0112406851283503","-0.00433684141092211","0.0074319841220752","-0.0172345688048808"
"2001-09-01","501","0.327958131269566","0.0854878325055147","0.00163409735244687","-0.00528755616811496","0.0311048967790325","-0.00951221895413182","-0.00230191292227751","-0.00282394159537378","0.0201358746345934","0.00637068001220016","0.0122140206791392","-0.00288319310631215","0.0174620369015052","0.00465418428612226","-0.00883598023584688","0.0107794493312795","0.00358024869260089","-0.0085578408249097","0.0166321685697763"
"2001-10-01","502","0.32645097983153","0.0865704487721805","0.00556390343439825","-0.0046612496701509","0.0305436721616887","-0.00945496217655886","-0.00147671190089462","0.00260585557869689","-0.019879133999098","-0.00690225943397158","-0.0113199152497933","-0.00311701844568089","0.0175831757532589","0.00509632673853827","-0.00859468901650154","-0.0106256934307795","-0.00332403696343494","0.00759626347870716","-0.0171693038963899"
"2001-11-01","503","0.321416122139451","0.0932802408961012","0.00791988638168504","-0.00435965693437092","0.0303852900841512","-0.00763308789340312","-0.00253131260176436","0.00387909849239387","0.0101556673938185","0.0117904546295721","-0.0183786526768935","-0.00256293732194894","0.0181802866698992","0.00317199171703556","-0.00796499590141079","-0.0120902783801167","-0.00826912769009815","0.0126093919350699","-0.00988885749589107"
