"window_date","var_idx","beta"
2009-12-01,1,1633.47234303596
2009-12-01,2,-1704.82437106745
2009-12-01,3,-465.125864747847
2009-12-01,4,1271.24607274202
2009-12-01,5,919.042031100654
2009-12-01,6,2310.74660232617
2009-12-01,7,870.168129161947
2009-12-01,8,9977.89315610369
2009-12-01,9,-3520.6712230266
2009-12-01,10,1982.79268859974
2009-12-01,11,182.119461426367
2009-12-01,12,-45.8105208380273
2009-12-01,13,1744.50147983669
2009-12-01,14,224.059650415236
2009-12-01,15,2015.79998352173
2009-12-01,16,424.713127120591
2009-12-01,17,4330.49531893682
2009-12-01,18,940.803772354894
2009-12-01,19,1009.93836873962
2009-12-01,20,-157.245190407968
2009-12-01,21,14.0196317291689
2010-01-01,1,1798.42119507212
2010-01-01,2,-1318.99404663254
2010-01-01,3,-406.623084994519
2010-01-01,4,1157.60534540148
2010-01-01,5,1657.49623555203
2010-01-01,6,1785.76153132192
2010-01-01,7,4917.60841355178
2010-01-01,8,13577.7360880842
2010-01-01,9,-2221.07643738164
2010-01-01,10,2159.54154062962
2010-01-01,11,704.467516051067
2010-01-01,12,898.61781929286
2010-01-01,13,2342.25082724731
2010-01-01,14,-1255.57262724887
2010-01-01,15,3270.04731416044
2010-01-01,16,-1187.20075486407
2010-01-01,17,4727.01021462682
2010-01-01,18,1488.07113843322
2010-01-01,19,-1263.70798513697
2010-01-01,20,3012.46184068561
2010-01-01,21,105.80277179766
2010-02-01,1,1771.26918376498
2010-02-01,2,174.559426221112
2010-02-01,3,-5.62250848606804
2010-02-01,4,-252.055718761117
2010-02-01,5,1187.15600838382
2010-02-01,6,3594.17274398159
2010-02-01,7,167.916007580308
2010-02-01,8,14495.615111386
2010-02-01,9,-3048.94992825981
2010-02-01,10,4302.94453796771
2010-02-01,11,-234.828375410668
2010-02-01,12,-177.723810274665
2010-02-01,13,1734.67890949371
2010-02-01,14,189.803830041247
2010-02-01,15,1313.58086319221
2010-02-01,16,3564.97643913046
2010-02-01,17,3824.13551145915
2010-02-01,18,1470.5976227193
2010-02-01,19,-167.980900167158
2010-02-01,20,2143.02133790292
2010-02-01,21,-106.185936999982
2010-03-01,1,1655.16443209889
2010-03-01,2,190.323625010352
2010-03-01,3,-30.2215022287148
2010-03-01,4,-591.160266922586
2010-03-01,5,369.485473884529
2010-03-01,6,3498.23904127423
2010-03-01,7,705.603367734679
2010-03-01,8,13395.4894705298
2010-03-01,9,-2976.04445370856
2010-03-01,10,2027.19271634653
2010-03-01,11,-770.934778912493
2010-03-01,12,-257.617890657
2010-03-01,13,2696.29474903554
2010-03-01,14,823.001688228829
2010-03-01,15,1253.28568769471
2010-03-01,16,3827.34918104578
2010-03-01,17,3327.54214560629
2010-03-01,18,846.855694089568
2010-03-01,19,-277.590290428718
2010-03-01,20,1825.48006975691
2010-03-01,21,84.5992739850991
2010-04-01,1,1997.35513084541
2010-04-01,2,645.777894981331
2010-04-01,3,-341.73469754366
2010-04-01,4,-754.567853528198
2010-04-01,5,463.88783501067
2010-04-01,6,3463.38259080084
2010-04-01,7,-617.817908821627
2010-04-01,8,10533.1477895506
2010-04-01,9,-2770.98797052837
2010-04-01,10,63.3763026899189
2010-04-01,11,-624.19544989026
2010-04-01,12,-1255.24821381941
2010-04-01,13,3237.31908981193
2010-04-01,14,1349.87548784869
2010-04-01,15,1679.16389490004
2010-04-01,16,2848.47246661322
2010-04-01,17,3992.5389896829
2010-04-01,18,765.066529622518
2010-04-01,19,-119.693612204128
2010-04-01,20,2055.91959297557
2010-04-01,21,-82.2846597619732
2010-05-01,1,1480.99381625818
2010-05-01,2,-510.013198316562
2010-05-01,3,-73.8290002416718
2010-05-01,4,497.403069285757
2010-05-01,5,263.525372197597
2010-05-01,6,226.693210231142
2010-05-01,7,2304.20189739655
2010-05-01,8,7650.12859400879
2010-05-01,9,-1733.40361816948
2010-05-01,10,-973.943160212554
2010-05-01,11,538.986735854658
2010-05-01,12,134.263927108838
2010-05-01,13,-472.725772194084
2010-05-01,14,119.777549291686
2010-05-01,15,-90.1472771873949
2010-05-01,16,1981.30715236726
2010-05-01,17,305.01652512916
2010-05-01,18,-135.87180145162
2010-05-01,19,-887.14635066526
2010-05-01,20,384.657467570881
2010-05-01,21,58.7765109019552
2010-06-01,1,351.002560116632
2010-06-01,2,-25.7786118998438
2010-06-01,3,1286.12789935142
2010-06-01,4,525.771889836598
2010-06-01,5,-942.104814597268
2010-06-01,6,1314.88686383155
2010-06-01,7,1862.03617041124
2010-06-01,8,12252.1838943079
2010-06-01,9,-1550.10763064606
2010-06-01,10,-808.645659282165
2010-06-01,11,3210.34540322797
2010-06-01,12,227.261379941871
2010-06-01,13,-1555.77845152941
2010-06-01,14,3161.01359532146
2010-06-01,15,-316.797099948001
2010-06-01,16,3037.61960571274
2010-06-01,17,3295.68346487238
2010-06-01,18,-639.331842604819
2010-06-01,19,-67.7746667338414
2010-06-01,20,339.149792168884
2010-06-01,21,-29.7249403569386
2010-07-01,1,1734.02417160284
2010-07-01,2,-934.360604596018
2010-07-01,3,2474.81303515774
2010-07-01,4,-547.716656507541
2010-07-01,5,-1259.26646823537
2010-07-01,6,253.488376734663
2010-07-01,7,1716.83169981348
2010-07-01,8,9560.29520349787
2010-07-01,9,-388.538125405357
2010-07-01,10,177.761513352602
