"window_date","var_idx","beta"
2010-07-01,1,1090.64183702238
2010-07-01,2,-1573.62407148401
2010-07-01,3,-1125.07604886843
2010-07-01,4,748.313538907949
2010-07-01,5,2526.23556470701
2010-07-01,6,-1075.98776363053
2010-07-01,7,-3570.84643377657
2010-07-01,8,9231.97172049744
2010-07-01,9,3825.28681304055
2010-07-01,10,-840.9817257096
2010-07-01,11,2387.48362714789
2010-07-01,12,3553.81984042137
2010-07-01,13,-1634.42723814066
2010-07-01,14,-357.925679025653
2010-07-01,15,3702.06588250662
2010-07-01,16,-89.0268306928716
2010-07-01,17,3355.10407144285
2010-07-01,18,908.202207070523
2010-07-01,19,2535.70190131383
2010-07-01,20,1933.29500479528
2010-07-01,21,-3.22767313180801
2010-08-01,1,778.545961535172
2010-08-01,2,-142.743161284525
2010-08-01,3,2402.35086500175
2010-08-01,4,-2889.07078739537
2010-08-01,5,-1159.79653955352
2010-08-01,6,-1241.16264062052
2010-08-01,7,-237.390076587753
2010-08-01,8,10140.1956264903
2010-08-01,9,3079.32066273044
2010-08-01,10,-2458.11818170981
2010-08-01,11,1617.8412785325
2010-08-01,12,2951.94055607936
2010-08-01,13,474.098004172861
2010-08-01,14,-634.951251617591
2010-08-01,15,-2376.1745666238
2010-08-01,16,1790.02733100717
2010-08-01,17,363.322403654397
2010-08-01,18,1790.60207636027
2010-08-01,19,2786.59781642808
2010-08-01,20,-617.550282993339
2010-08-01,21,-18.9437246537388
2010-09-01,1,628.770612159641
2010-09-01,2,-1667.27898308006
2010-09-01,3,-1190.55561315151
2010-09-01,4,1183.39561623596
2010-09-01,5,3271.60930592185
2010-09-01,6,150.176635303192
2010-09-01,7,-3664.16618608254
2010-09-01,8,9578.71710278118
2010-09-01,9,5760.92783711697
2010-09-01,10,-2773.41124885771
2010-09-01,11,2864.18096704397
2010-09-01,12,2561.84023284862
2010-09-01,13,-2136.54882285475
2010-09-01,14,3486.99263771318
2010-09-01,15,1000.50921126071
2010-09-01,16,-739.089192763159
2010-09-01,17,4136.47897147129
2010-09-01,18,2373.76276369374
2010-09-01,19,-337.079616735028
2010-09-01,20,1717.80537174801
2010-09-01,21,-25.3368725255354
2010-10-01,1,583.406676538374
2010-10-01,2,-70.1348881885442
2010-10-01,3,1644.17952956705
2010-10-01,4,-2051.86240441968
2010-10-01,5,-274.065708027504
2010-10-01,6,-1525.54219092986
2010-10-01,7,835.349079996897
2010-10-01,8,9153.45294771809
2010-10-01,9,4607.7580912027
2010-10-01,10,-2387.69958543386
2010-10-01,11,629.528997302549
2010-10-01,12,3193.30147748783
2010-10-01,13,376.651858200054
2010-10-01,14,-1575.07218047566
2010-10-01,15,3934.45841688829
2010-10-01,16,2678.93129259689
2010-10-01,17,5076.19586973051
2010-10-01,18,-409.827868690705
2010-10-01,19,-1182.95185572386
2010-10-01,20,1496.2455863397
2010-10-01,21,0.844785898164917
2010-11-01,1,96.2711638354555
2010-11-01,2,-2552.40017396337
2010-11-01,3,-1611.35237294421
2010-11-01,4,889.692310908058
2010-11-01,5,3815.07215897302
2010-11-01,6,67.2573368122194
2010-11-01,7,-3362.03045387707
