"Target","Horizon","2SRR","AdaElNET","AdaLASSO","AR","AR_BIC","Bagging","CSR","ElNET","Factor","LASSO","RF","Ridge","rw","T.Factor"
"INFLATION",1,1.087,0.941,0.9067,1,1.0118,1.0602,0.8769,0.8452,0.9538,0.8461,0.9493,0.9997,1.2215,0.932
"INFLATION",3,1.0319,0.9906,0.9738,1,1.0097,1.2848,0.9402,0.8921,1.1521,0.9013,0.9128,1.0176,1.5996,1.0117
"INFLATION",6,1.0656,1.0038,1.0128,1,1.0088,1.4595,1.0515,0.9571,1.1079,0.9537,0.9019,1.0226,1.5887,0.9885
"INFLATION",12,1.0865,1.0448,1.0647,1,1.0126,1.9142,1.1146,0.9685,1.2302,0.9916,1.121,1.169,1.8717,1.1562
