"date","realized","fc_ridge","fc_2srr","err_ridge","err_2srr"
1999-07-01,2.12193472267419,1.53588462404171,1.74376824926165,-0.586050098632483,-0.378166473412538
1999-08-01,2.23912531754458,3.04051628858641,1.93705341488053,0.801390971041831,-0.302071902664052
1999-09-01,2.59598036957982,4.11790940767824,1.9586690010675,1.52192903809842,-0.637311368512318
1999-10-01,2.5302554664786,4.06992821847834,2.21748017633352,1.53967275199974,-0.312775290145079
1999-11-01,2.58661037121808,3.84349045261761,2.20703235335534,1.25688008139953,-0.379578017862735
1999-12-01,2.6412099539777,2.79104873543783,2.17109915048384,0.149838781460136,-0.47011080349386
2000-01-01,2.7546651955495,3.03663955598468,2.3049931986773,0.281974360435185,-0.449671996872203
2000-02-01,3.16727998666675,3.53912351703472,2.47097180075956,0.371843530367975,-0.696308185907191
2000-03-01,3.69309390272887,4.28444870497403,2.78218827162167,0.591354802245159,-0.9109056311072
2000-04-01,2.96933929251466,5.52353310730608,3.38869081132915,2.55419381479142,0.419351518814493
2000-05-01,3.08446753510978,3.58227828394389,2.59929264724118,0.497810748834106,-0.485174887868605
2000-06-01,3.66688036370864,1.73295738382815,2.35123567065415,-1.93392297988049,-1.31564469305448
2000-07-01,3.53601953958842,4.46977243514778,3.27504833121213,0.933752895559358,-0.260971208376292
2000-08-01,3.29635495512841,5.01663412646196,3.22621692350376,1.72027917133355,-0.0701380316246536
2000-09-01,3.39810081931438,2.52101455621284,2.7348359505318,-0.877086263101539,-0.663264868782577
2000-10-01,3.39213809456673,3.43863871546277,3.22366254441669,0.046500620896035,-0.168475550150047
2000-11-01,3.38619626101764,4.2490610853806,3.23607362576191,0.862864824362964,-0.150122635255727
2000-12-01,3.37830612436445,2.7351031441278,3.04508383198223,-0.64320298023665,-0.333222292382218
2001-01-01,3.65363920619268,2.97465420807483,3.18085028446993,-0.678984998117858,-0.47278892172275
2001-02-01,3.46855579878893,4.65569668324948,3.69878272932892,1.18714088446055,0.230226930539993
2001-03-01,2.93884589994997,4.70089246429933,3.49439320719723,1.76204656434936,0.555547307247263
2001-04-01,3.16755534511453,2.48667261462649,3.01088103231135,-0.680882730488032,-0.156674312803171
2001-05-01,3.50107493725211,2.22461967807525,3.09772815473589,-1.27645525917687,-0.403346782516219
2001-06-01,3.1440143166976,4.13891186244384,3.52732313587137,0.994897545746241,0.383308819173774
2001-07-01,2.68510847228463,4.41713676347849,3.26022280915705,1.73202829119386,0.575114336872427
2001-08-01,2.68510847228463,1.5311996162815,2.8326038914896,-1.15390885600313,0.147495419204971
2001-09-01,2.55913880693663,0.540488549869048,2.97345671904739,-2.01865025706759,0.414317912110755
2001-10-01,2.10534091978323,2.92776550686025,3.16273119471726,0.822424587077021,1.05739027493403
2001-11-01,1.87665444970682,1.81204228966869,2.73600285373273,-0.0646121600381269,0.859348404025913
2001-12-01,1.59094264699773,-0.165132912003945,2.51940799798273,-1.75607555900167,0.928465350985001
2002-01-01,1.18880539595896,0.820662782405295,2.3536750873152,-0.368142613553663,1.16486969135624
2002-02-01,1.12995552539337,1.75987586467655,2.37573771940421,0.629920339283186,1.24578219401085
