"date","realized","fc_ridge","fc_2srr","err_ridge","err_2srr","lam_ridge","lam2_2srr"
1999-07-01,2.12193472267419,3.51198047682303,2.51518846568413,1.39004575414884,0.393253743009939,0.213464430371716,54.5981500331442
1999-08-01,2.23912531754458,3.16336724368774,2.1187222672279,0.924241926143164,-0.120403050316672,0.213452187584345,54.5981500331442
1999-09-01,2.59598036957982,1.45083776927579,1.8246659912334,-1.14514260030403,-0.771314378346416,0.213253886548684,54.5981500331442
1999-10-01,2.5302554664786,2.8783050825983,2.54594217760271,0.348049616119698,0.0156867111241108,0.213122585691904,54.5981500331442
1999-11-01,2.58661037121808,3.86672958309448,1.89921717218138,1.28011921187641,-0.687393199036698,0.212964990402906,54.5981500331442
1999-12-01,2.6412099539777,3.65226005151888,2.10618914676112,1.01105009754119,-0.535020807216579,0.212883242345348,54.5981500331442
2000-01-01,2.7546651955495,3.4537206712651,2.39432325955955,0.699055475715606,-0.360341935989947,0.212767751652644,54.5981500331442
2000-02-01,3.16727998666675,2.00408423549308,2.35726451292503,-1.16319575117367,-0.810015473741717,0.212651818291883,54.5981500331442
2000-03-01,3.69309390272887,1.83815288000129,2.7236183286627,-1.85494102272758,-0.96947557406617,0.212629112837532,54.5981500331442
2000-04-01,2.96933929251466,4.86898128126987,2.56152622739764,1.89964198875521,-0.407813065117026,0.212175780231915,54.5981500331442
2000-05-01,3.08446753510978,4.39754737064002,2.52167647295518,1.31307983553024,-0.562791062154601,0.211779043754532,148.413159102577
2000-06-01,3.66688036370864,1.76912235978445,3.56111330290061,-1.89775800392419,-0.105767060808022,0.211652426329986,148.413159102577
2000-07-01,3.53601953958842,3.53427219963473,2.90828909443477,-0.00174733995368914,-0.627730445153652,0.211488670809924,148.413159102577
2000-08-01,3.29635495512841,4.16458433345137,2.88081692206493,0.868229378322962,-0.415538033063478,0.279534823145739,148.413159102577
2000-09-01,3.39810081931438,4.022645765141,3.46570092303376,0.624544945826628,0.067600103719387,0.211261309935025,148.413159102577
2000-10-01,3.39213809456673,3.79331112143186,2.83900478356677,0.401173026865131,-0.55313331099996,0.211073586072385,148.413159102577
2000-11-01,3.38619626101764,3.0747407627544,2.78427701651618,-0.311455498263233,-0.601919244501455,0.210919799487597,148.413159102577
2000-12-01,3.37830612436445,3.82710896326746,3.08716088091095,0.448802838903015,-0.291145243453496,0.210793169310137,148.413159102577
2001-01-01,3.65363920619268,4.35106697884505,3.11321493277448,0.697427772652365,-0.540424273418198,0.231057690348427,148.413159102577
2001-02-01,3.46855579878893,3.62310044548586,3.32089124781855,0.154544646696932,-0.147664550970385,0.21045642262059,54.5981500331442
2001-03-01,2.93884589994997,4.82266193066732,3.35143498000541,1.88381603071735,0.41258908005544,0.231062967964905,54.5981500331442
2001-04-01,3.16755534511453,3.91920215012963,3.07247182329166,0.751646805015109,-0.0950835218228696,0.210256682785143,54.5981500331442
2001-05-01,3.50107493725211,0.859979014057899,3.21285897669503,-2.64109592319421,-0.288215960557085,0.210096611940635,54.5981500331442
2001-06-01,3.1440143166976,3.59932414539889,3.29647110487971,0.455309828701294,0.15245678818211,0.210148833489418,54.5981500331442
2001-07-01,2.68510847228463,4.54901091207267,3.03937223551449,1.86390243978805,0.35426376322986,0.23062132862527,54.5981500331442
2001-08-01,2.68510847228463,2.33427518288456,3.08933832739271,-0.350833289400061,0.40422985510808,0.210347933606624,54.5981500331442
2001-09-01,2.55913880693663,3.82748902978153,3.25132507116564,1.26835022284489,0.692186264229008,0.210675652736058,54.5981500331442
2001-10-01,2.10534091978323,3.80220549923846,3.44143154686206,1.69686457945523,1.33609062707884,0.210622442765795,54.5981500331442
2001-11-01,1.87665444970682,2.62280441193728,2.87622890269768,0.746149962230467,0.999574452990861,0.210826658217698,54.5981500331442
2001-12-01,1.59094264699773,3.5275519527374,2.35305481332267,1.93660930573967,0.76211216632494,0.210965642534047,54.5981500331442
2002-01-01,1.18880539595896,5.22800144050583,1.93443867511439,4.03919604454687,0.745633279155436,0.278969579408222,54.5981500331442
2002-02-01,1.12995552539337,4.18607127435339,1.72235658176956,3.05611574896002,0.592401056376195,0.253696784033727,54.5981500331442
2002-03-01,1.35365857175334,1.41969748166341,1.72899948645521,0.0660389099100789,0.375340914701878,0.278776789765879,54.5981500331442
2002-04-01,1.63062370383962,1.22146972249956,1.5693076779038,-0.409153981340057,-0.0613160259358176,0.254365070113904,54.5981500331442
2002-05-01,1.23319948481706,3.20872005474957,1.60549979518934,1.97552056993251,0.37230031037228,0.306431314623667,54.5981500331442
2002-06-01,1.06354207074935,3.00838942838181,1.08056371583806,1.94484735763246,0.0170216450887144,0.211137118285232,54.5981500331442
2002-07-01,1.45497810147317,0.437300043371371,1.59948283353781,-1.0176780581018,0.144504732064642,0.211529082275512,54.5981500331442
2002-08-01,1.73237078974573,-0.0397614382567017,1.84180469824574,-1.77213222800243,0.109433908500014,0.279666047352842,54.5981500331442
2002-09-01,1.50462576624601,1.19482376326866,0.832238200139486,-0.309802002977356,-0.672387566106529,0.279856384015106,54.5981500331442
2002-10-01,2.00675630508096,-0.0925927201634615,0.407473828214571,-2.09934902524442,-1.59928247686639,0.30741762813707,54.5981500331442
