"variable","horizon","window","lag_y","K","tuning_msfe"
"DESEMPREGO",1,37,2,2,0.339497860257802
"DESEMPREGO",1,49,1,1,2.40526125277789
"DESEMPREGO",1,61,3,1,0.681246621016898
"DESEMPREGO",1,73,1,1,0.5245770862247
"DESEMPREGO",1,85,3,3,0.28829896828663
"DESEMPREGO",1,97,1,3,0.683810377074469
"DESEMPREGO",1,109,1,3,0.0947692768654026
"DESEMPREGO",2,1,2,2,2.68755941555367
"DESEMPREGO",2,13,3,3,0.30038826079335
"DESEMPREGO",2,25,2,1,0.289716865274586
"DESEMPREGO",2,37,1,1,0.238741997250405
"DESEMPREGO",2,49,2,3,3.12147957392532
"DESEMPREGO",2,61,3,3,0.746817318874545
"DESEMPREGO",2,73,2,1,0.614024803189437
"DESEMPREGO",2,85,2,3,0.321199562423209
"DESEMPREGO",2,97,2,1,0.765524026990224
"DESEMPREGO",2,109,2,3,0.126043710364055
"DESEMPREGO",4,1,3,2,0.751594672528723
"DESEMPREGO",4,13,1,1,0.476257469259858
"DESEMPREGO",4,25,1,3,0.17123942546373
"DESEMPREGO",4,37,1,3,0.226104265905026
"DESEMPREGO",4,49,1,1,3.21054035901532
"DESEMPREGO",4,61,2,2,1.06668479805359
"DESEMPREGO",4,73,2,3,0.491358088444712
"DESEMPREGO",4,85,2,3,0.349011903850586
"DESEMPREGO",4,97,1,2,0.6621587360445
"DESEMPREGO",4,109,1,3,0.158020294173535
