"h","model","DM_stat","p_value","result"
1,"Ridge_Coulombe",-1.09312088888583,0.862405278440046,"Empate"
3,"Ridge_Coulombe",-0.6164237466756,0.730966361597895,"Empate"
6,"Ridge_Coulombe",1.89919619997561,0.0292334197019116,"2SRR GANHA"
12,"Ridge_Coulombe",3.38247508421341,0.000405254309125345,"2SRR GANHA"
