"param","var","cv"
"beta2",0.297439561020031,0.623121159308581
"beta1",0.0711481149008819,0.236334889133299
"beta0",0.034842916548956,0.143015393247994
"beta9",0.00993246073501949,9.4968559348051
"beta7",0.00589663098439882,26.7646883868157
"beta14",0.00496736834206899,16.1623020417497
"beta17",0.00491236301305966,2.82275998701204
"beta15",0.00485279396326056,21.0720758126321
"beta5",0.00406931385780026,7.81597003533652
"beta16",0.00316969793049394,27.0689627475024
"beta12",0.00307249777029684,1.15292204363803
"beta6",0.00252882288328563,14.07099113332
"beta13",0.0023602291350826,191.135599826848
"beta8",0.00218797245808126,2.68493924354729
"beta10",0.00216679888668105,96.1173499948832
"beta4",0.00199922337157918,1.07620820177858
"beta18",0.00139570713745869,5.44210591600205
"beta3",0.00132847072327843,3.99025883844582
"beta11",0.000840608661961642,2.88925447147892
