"date","t","beta0","b1","b2","b3","b4","b5","b6","b7","b8","b9","b10","b11","b12","b13","b14","b15","b16","b17","b18"
"1999-06-01","474","3.57797593430325","1.02427126244499","1.33580708342242","-0.0234293664295511","0.259341806271714","-0.155398712064682","-0.0887745871358121","-0.123402179812518","-0.159723090398989","0.0236352258582029","-0.143108672382162","-0.0300356302333784","0.169132816945562","-0.105800067993159","-0.00724948794623701","-0.0749817440843276","-0.0857050348386966","0.00160424896234654","-0.143202055082568"
"1999-07-01","475","3.58017803683188","1.02013531414619","1.33539244138554","-0.0230517535174365","0.259203247726572","-0.154176639850036","-0.0894799128484298","-0.123701898395745","-0.158548617569331","0.02421916764598","-0.14344511048132","-0.0301399641085329","0.169572540637824","-0.106351292811374","-0.00733315937687768","-0.0753133890792538","-0.0868249424116952","0.0012478181808694","-0.141257631123613"
"1999-08-01","476","3.58120153765576","1.01426798408529","1.3227538078521","-0.0230187801489256","0.259340819821777","-0.153984922708067","-0.0901983880236052","-0.122514648365872","-0.158481348732907","0.0258824266024038","-0.143776136623896","-0.0303316346206943","0.170818815713363","-0.10536773036483","-0.00972026251010764","-0.0773000622816149","-0.0864560018894536","0.00287373492593864","-0.146297455771217"
"1999-09-01","477","3.57748277624111","1.02398954703207","1.31845110347672","-0.0233487934803404","0.259133547374849","-0.155157474536904","-0.0898803266072722","-0.124355778536004","-0.161008426807259","0.0235166281426098","-0.144293353996346","-0.0301871176205105","0.170603777599494","-0.102359295629011","-0.0112728127370808","-0.0740227652032955","-0.0864847896138835","0.00139342782917885","-0.149556198539887"
"1999-10-01","478","3.57828137571903","1.02704914708159","1.31433664571978","-0.0237947676138201","0.257647075478716","-0.156884398054683","-0.0881222376757787","-0.123986556893373","-0.161440671404448","0.0232834844791987","-0.141047811553485","-0.0301456703486389","0.171363129948298","-0.0998756469302016","-0.0130968169641144","-0.0721585580180768","-0.0863289478074736","0.00465434792711693","-0.148266678951428"
"1999-11-01","479","3.57739623230551","1.02715901752743","1.31237678849683","-0.0240743059910713","0.25722328444605","-0.156483427064615","-0.0878941036997742","-0.12341961344111","-0.16151548581377","0.0226020567196355","-0.141498289590599","-0.0302954006558897","0.17167630950895","-0.099598345354245","-0.0133818522076135","-0.0734777821173251","-0.0857783190169893","0.00504242489330212","-0.147670218505738"
"1999-12-01","480","3.57919198231633","1.01873893263343","1.31050406061945","-0.0245141276612778","0.258253013849935","-0.157560673924387","-0.0894668638378561","-0.122466390907577","-0.158671834708833","0.0222800606603175","-0.138726131116465","-0.0302820636268096","0.171360793125263","-0.0982336836586559","-0.0129159874028097","-0.075995993119062","-0.0860606444251099","0.00253593771622407","-0.148600792426329"
"2000-01-01","481","3.58258278493729","1.0124225292605","1.30386852374981","-0.0252052057426888","0.258891722414081","-0.155324171372634","-0.0891119314655577","-0.12360185067871","-0.159051086128671","0.022908005019002","-0.13952296237137","-0.0300487006148302","0.171849300143931","-0.0989077140137355","-0.0131748434332657","-0.0756025570697774","-0.0837905747559557","0.00449852228481035","-0.145695321706223"
"2000-02-01","482","3.56654773965638","1.04114080140688","1.29832574724783","-0.0248748255884002","0.25783056160983","-0.160633418437354","-0.091995217770424","-0.12185051459759","-0.169188568130224","0.0258328130537684","-0.144629874363106","-0.0310250739838663","0.169832123779701","-0.0953438404834044","-0.014256727610917","-0.0761755271165312","-0.0891678698556687","0.00484489251985792","-0.166385075777691"
"2000-03-01","483","3.57091636509316","1.03976567485966","1.30537602487386","-0.0241664748793047","0.256251483879478","-0.158878356335857","-0.0904125705176983","-0.11918535472358","-0.168958165000132","0.0241039174286148","-0.14350842928844","-0.0304020348874019","0.170956663521131","-0.0970832919277995","-0.0141120090588279","-0.0767652728176285","-0.091631853784039","0.00606028075334919","-0.162208468536719"
