"periodo","n_obs","mse_2srr","mse_rw","ganho_abs","rmsfe_rel","pct_do_total"
"Full",312,0.0845334354693469,0.0949852636702586,0.0104518282009117,0.943378867172881,100
"Pre_COVID",246,0.084844000046647,0.0958097505966807,0.0109657505500337,0.941034862316978,104.9
"COVID",36,0.132112074220803,0.143937922260777,0.0118258480399741,0.958039997470601,113.1
"Post_COVID",30,0.0248924394337387,0.0294812805649745,0.00458884113123588,0.918883721052028,43.9
"GFC",30,0.339307670929129,0.249603462335546,-0.0897042085935823,1.16592747463308,-858.3
