"h","model","RMSE","MAE","rank","ratio_vs_2SRR"
1,"Ridge_Coulombe",0.270201313340398,0.195597273511006,1,0.831754338105094
1,"SRR2",0.324857113406792,0.201158037463628,2,1
3,"Ridge_Coulombe",0.705699313573993,0.501386202753649,1,0.965488818338168
3,"SRR2",0.730924377548635,0.487278543433866,2,1
6,"SRR2",0.980721181270608,0.595548824003805,1,1
6,"Ridge_Coulombe",1.19697642845173,0.841142364803314,2,1.22050634911438
12,"SRR2",1.32893359984046,0.764559865842786,1,1
12,"Ridge_Coulombe",2.2000327247719,1.4858929564162,2,1.65548732083831
