"param","var","cv"
"beta1",0.0119403228971333,0.352613684426039
"beta2",0.00211985959278013,0.273851028242945
"beta0",0.00137638862383255,0.0868651042194456
"beta4",0.00114097849199829,0.918370278804287
"beta7",0.000505577148022007,5.1989939436568
"beta6",0.000313623378596368,3.84253956279177
"beta15",0.000303778099592421,20.1820798437288
"beta10",0.000234976201793469,36.5042507113122
"beta5",0.000159681113272847,1.51717156799695
"beta11",0.00015167185762742,3.93621374085644
"beta18",0.000143139426296243,291.184399936249
"beta8",0.000139985668745784,11.652260073933
"beta9",0.000135238651923072,4.69843094301116
"beta13",9.17302607245335e-05,1.03985485203639
"beta3",8.04279278067655e-05,1.24394649549085
"beta12",5.96502653835015e-05,1.34492272723796
"beta16",5.94326065830373e-05,1.96705188044971
"beta14",5.40187660486636e-05,2.64155354796714
"beta17",3.35473665543763e-05,2379.61572703387
