"param","var","cv"
"beta0",0.836222706559934,0.274286015552787
"beta2",0.410296817138248,0.602295317892918
"beta1",0.395750607995405,0.393645200568287
"beta7",0.0208096888375934,80.74107540402
"beta16",0.0138612636083515,27.5768442895966
"beta15",0.00973784935735985,5.88039640390848
"beta9",0.00950139572950651,131.168443975717
"beta8",0.00748393429384538,4.95152900479758
"beta10",0.00685995297162053,10.9639802149673
"beta4",0.00605754819066725,1.43200164126905
"beta12",0.00594131745459881,2.44499506837979
"beta17",0.00578294987461163,22.3206470821161
"beta6",0.00570114501966143,7.34722171510955
"beta5",0.00534404881441106,13.579247909019
"beta18",0.00432423142280814,5.70305071911769
"beta11",0.00353784699178879,23.3610549274797
"beta13",0.00310970395156804,67.0214831575001
"beta14",0.00308973100840477,4.96563436583701
"beta3",0.00304913534157175,12.1120893044966
