"h","periodo","modelo","rmsfe"
5,"Pre_COVID","Bagging",0.900235791916101
6,"Pre_COVID","Bagging",0.929923824793236
7,"Pre_COVID","Bagging",0.878289719200903
8,"Pre_COVID","Bagging",1.12303856297308
9,"Pre_COVID","Bagging",1.07885361457267
10,"Pre_COVID","Bagging",1.12478560622724
11,"Pre_COVID","Bagging",1.34174975403693
12,"Pre_COVID","Bagging",1.00255156359555
1,"Pre_COVID","Factor",0.851996126207223
2,"Pre_COVID","Factor",0.78661145721142
3,"Pre_COVID","Factor",0.766289338809886
4,"Pre_COVID","Factor",0.793401056206643
5,"Pre_COVID","Factor",0.801558494023437
6,"Pre_COVID","Factor",0.82238185265734
7,"Pre_COVID","Factor",0.840350359283701
8,"Pre_COVID","Factor",0.85627797727726
9,"Pre_COVID","Factor",0.834681897994208
10,"Pre_COVID","Factor",0.852123414209017
11,"Pre_COVID","Factor",0.853023527029285
12,"Pre_COVID","Factor",0.808677465546132
1,"Pre_COVID","AR",0.903408636031691
2,"Pre_COVID","AR",0.800415529556571
3,"Pre_COVID","AR",0.776518533114709
4,"Pre_COVID","AR",0.798072402206961
5,"Pre_COVID","AR",0.785499286181803
6,"Pre_COVID","AR",0.786350702615727
7,"Pre_COVID","AR",0.776329145895803
8,"Pre_COVID","AR",0.758872822185745
9,"Pre_COVID","AR",0.767271594681601
10,"Pre_COVID","AR",0.812233485227126
11,"Pre_COVID","AR",0.81401018229911
12,"Pre_COVID","AR",0.729311394246303
1,"COVID","2SRR",0.958039997470601
2,"COVID","2SRR",1.00398377670655
3,"COVID","2SRR",1.02624969733416
4,"COVID","2SRR",0.883269438705187
5,"COVID","2SRR",0.861696395615407
6,"COVID","2SRR",0.859783210190892
7,"COVID","2SRR",0.99839170104556
8,"COVID","2SRR",0.997683095446758
9,"COVID","2SRR",0.881340196502891
10,"COVID","2SRR",1.02760124624223
11,"COVID","2SRR",1.00518994128637
12,"COVID","2SRR",0.876038075899714
1,"COVID","Ridge",1.02729247766797
2,"COVID","Ridge",1.01379658055502
3,"COVID","Ridge",1.04032101105968
4,"COVID","Ridge",1.00016977728101
5,"COVID","Ridge",0.989090147857106
6,"COVID","Ridge",0.889387142002566
7,"COVID","Ridge",1.00256963390087
8,"COVID","Ridge",1.0427015664548
9,"COVID","Ridge",0.960254928413067
10,"COVID","Ridge",1.11462878701584
11,"COVID","Ridge",1.08440743597574
12,"COVID","Ridge",0.937899319127072
1,"COVID","LASSO",0.890019248249888
2,"COVID","LASSO",0.830074707892446
3,"COVID","LASSO",0.880148547205262
4,"COVID","LASSO",0.865099367344919
5,"COVID","LASSO",0.886420554072726
6,"COVID","LASSO",0.873042302401596
7,"COVID","LASSO",0.958722439023412
8,"COVID","LASSO",0.938210646530017
9,"COVID","LASSO",0.86441007963782
10,"COVID","LASSO",0.943091531205818
11,"COVID","LASSO",0.965209172523191
12,"COVID","LASSO",0.874633793958573
1,"COVID","RF",0.936085022747083
2,"COVID","RF",0.908902495314852
3,"COVID","RF",0.972041459571365
4,"COVID","RF",0.953754436706643
5,"COVID","RF",0.906180384644976
6,"COVID","RF",0.838831134759115
7,"COVID","RF",0.924238495266598
8,"COVID","RF",0.940819285640088
9,"COVID","RF",0.913305956670669
10,"COVID","RF",1.02391869934825
11,"COVID","RF",1.07675983736945
12,"COVID","RF",0.982415215286788
1,"COVID","Bagging",1.15604909311114
2,"COVID","Bagging",1.4003257878644
3,"COVID","Bagging",1.42989251502074
4,"COVID","Bagging",1.60986711031799
5,"COVID","Bagging",1.55428318687266
6,"COVID","Bagging",1.10362088354253
7,"COVID","Bagging",0.950291368235118
8,"COVID","Bagging",1.11989881551359
