"date","t","b1","b2","b3","b4","b5","b6","b7","b8","b9","b10","b11","b12","b13","b14","b15","b16","b17","b18","b19"
"1999-06-01","474","1.94270139832742","-1.71488870957104","-1.80987728877228","0.00765110450658346","0.0725987437827218","-0.0687750851210441","0.00229021999870402","-0.110565053713555","-0.0267332280807999","-0.0101611815939391","0.0417606939459683","-0.0185556209427052","0.0765243891361712","-0.0417215041550313","-0.0213574086979724","-0.0769901884736376","3.48277018374966e-05","-0.0267090827207365","0.000397282006705262"
"1999-07-01","475","1.9555326887482","-1.75944736317994","-1.85991360278179","0.00457888330823692","0.0744856103474536","-0.0598496002642021","0.00162053888589851","-0.110086545879719","-0.0267464459510783","-0.0103444720178605","0.0403600964181226","-0.0194127312828884","0.0787611656918832","-0.0434922908349925","-0.0239134791794085","-0.0710650018746698","0.0126370845569685","-0.024804007562478","0.00770011195270448"
"1999-08-01","476","1.96292505449749","-1.76679057676088","-1.81969598045504","0.00523093772672471","0.0738637160739607","-0.0586511207009405","0.00367739894824257","-0.118130434489062","-0.0265035297513002","-0.00661883914163982","0.0435819094863543","-0.0145350638232881","0.0780151624723928","-0.0469556841718793","-0.0223823262629796","-0.068796286977717","0.0128298723955323","-0.0267874401580485","0.00820674962632389"
"1999-09-01","477","2.00595394452333","-1.87312980679358","-1.89091222863866","0.0134094083326698","0.0673674696738275","-0.047392296770575","0.013893195612518","-0.109095801264497","-0.0242203061625593","-0.027688264305011","0.0625171112000986","-0.0152633072170544","0.0768881189167356","-0.053788446377861","-0.0224294210855233","-0.0818127374778698","0.0156686964358582","-0.0268672982394237","0.0163663154424566"
"1999-10-01","478","2.09227852880335","-2.02325727177985","-2.02888424469944","0.0107024571090212","0.0768335506168155","-0.0410115960060062","0.0300713589364575","-0.11520881201154","-0.0238718528867363","-0.0163375577920331","0.0611277154884369","-0.00662790986104835","0.0684461882883307","-0.0354514973766624","-0.0121922533509024","-0.0735886282047943","0.00859572822294321","-0.045104293178927","0.0368922618247218"
"1999-11-01","479","2.12929151356219","-1.6521150451058","-2.08399137825916","0.00693115858997145","0.0831155856387813","-0.039875253548903","0.0242249721727033","-0.120183492585012","-0.0149847116838381","-0.0240620630094074","0.0557028235098472","-0.00440320831667278","0.0734004442114937","-0.0366012449797321","0.00355037743905171","-0.0815662354600926","0.0103672595045513","-0.0294149704080442","0.0439699499954859"
"1999-12-01","480","2.20236028921413","-1.7475503951207","-1.8048473677063","0.0090607542714824","0.0845150125606122","-0.0439493768723265","0.0325041843464658","-0.129132090587245","-0.00652123389467282","-0.0163166142495117","0.0571360043676596","-0.0106550160884906","0.0786748763069818","-0.0340752378744514","-0.00289024200803883","-0.0910659712868642","0.0235419911959179","-0.0362622674802311","0.0372656768340763"
"2000-01-01","481","2.1045047655352","-1.65057558837579","-1.60076247849481","0.0118242642888986","0.0896549430388468","-0.0506030921657569","0.0164253582975528","-0.106514510927676","-0.00884276765926546","-0.0108736918763084","0.031476937174875","-0.0125429335907206","0.0757908331614403","-0.0409587778789973","-0.00824967275556221","-0.0752277387727564","0.0201506314022586","-0.0430957341266375","0.0353960054593731"
"2000-02-01","482","1.96016653178341","-1.36104174179483","-1.4257932882445","0.0236594461198852","0.075704125596246","-0.0440097913797795","0.0255626230949874","-0.0917456959025441","0.00172618963999849","-0.0117665372309292","0.0353849409864528","-0.0159720033186309","0.0560350209296224","-0.0309222963812355","-0.0194294761359051","-0.0655583393672666","0.0296388830680423","-0.0531248780226949","0.049662905860305"
"2000-03-01","483","1.96977035261299","-1.26200976658263","-1.20105119458532","0.0287174232350351","0.0839914908795117","-0.0435396894305328","0.0389270418827297","-0.0885649954197868","0.035897787100072","-0.00244409287977275","0.0448015493800327","-0.005301022560332","0.0539290879826896","-0.0622799199715187","-0.0180931607712476","-0.0510028097837159","0.0280641489789904","-0.0410811666933054","0.0285018847293794"
"2000-04-01","484","2.12260744157538","-1.53231501406612","-1.41001176982843","0.00786148629521612","0.100420987159683","-0.0644618049778842","0.0321563176453923","-0.107274785232592","0.0265526884520663","0.0166263238090061","0.0452240430874985","-0.00374832527420277","0.0770851999803402","-0.0589822660708768","-0.01170023103978","-0.0804040465020225","0.0303931265332204","-0.0233537625951058","0.0282104596742478"
"2000-05-01","485","2.15351743105329","-1.54233118338517","-1.3884231282799","0.0105453113580092","0.095821991192818","-0.056619539241806","0.028916879672968","-0.0989990409287674","0.0258705028200259","0.0157922089713263","0.0423987174624175","-0.00776884986786081","0.0790756619441391","-0.062131572786933","-0.0033348604737423","-0.0785823423507624","0.0435273217054866","-0.0168422044133248","0.0312663625590248"
"2000-06-01","486","2.06969648034985","-1.11464674206656","-1.06318879581417","0.0268091955583334","0.0774843097322768","-0.0595937495741603","0.0364235402946014","-0.0687117968517428","0.0215765833101275","0.0103466071796778","0.035441813015528","0.00916929581008904","0.0484409132462155","-0.0360548089000304","-0.0208503092167366","-0.0497699870779845","0.0553502932321939","-0.0181557137083333","0.025165164066716"
"2000-07-01","487","2.1873559949529","-1.07243344804643","-1.02514994052349","0.0305787484842384","0.0877662233233124","-0.044114469949693","0.0203083670449664","-0.0969537022472063","0.0103459535030818","-0.00426312446568623","0.00732418180587904","0.0197256283159068","0.0422283548532943","-0.0576467467922227","-0.0187039261838297","-0.0388924718755318","0.0331251050512704","-0.0360242902884756","0.027033919462661"
"2000-08-01","488","2.18430309063233","-0.978131085880171","-1.02953422845753","0.0313168982378133","0.0891095175995716","-0.0459103045226077","0.0367002580671396","-0.0914841219915646","0.00617342414622206","0.00542501769105665","-0.00437002801360519","0.0198533797702656","0.0449178203590727","-0.0582585220357239","-0.022961116866135","-0.0455616933431724","0.0262403861476745","-0.0361627801844909","0.0199070683341239"
