"date","cssed","d_t"
"1999-07-01",1.77757869223589,1.77757869223589
"1999-08-01",2.61730493575115,0.839726243515257
"1999-09-01",3.3337306405383,0.716425704787151
"1999-10-01",3.45462310291348,0.120892462375179
"1999-11-01",4.62081888944662,1.16619578653315
"1999-12-01",5.35679392502997,0.735975035583349
"2000-01-01",5.71562617232495,0.358832247294979
"2000-02-01",6.41252546017241,0.696899287847455
"2000-03-01",8.91344876925912,2.50092330908671
"2000-04-01",12.3557769586208,3.44232818936171
"2000-05-01",13.7632218334558,1.40744487483502
"2000-06-01",17.3535206037622,3.59029877030636
"2000-07-01",16.9594781451863,-0.394042458575886
"2000-08-01",17.5406285416471,0.581150396460808
"2000-09-01",17.9261151569818,0.385486615334705
"2000-10-01",17.7810984947282,-0.145016662253648
"2000-11-01",17.5157962452254,-0.265302249502805
"2000-12-01",17.6324546806472,0.116658435421803
"2001-01-01",17.8268017834144,0.194347102767256
"2001-02-01",17.8288810116238,0.0020792282093951
"2001-03-01",21.2074141002305,3.37853308860668
"2001-04-01",21.7633461435977,0.555932043367167
"2001-05-01",28.6556653791909,6.89231923559324
"2001-06-01",28.8397293470401,0.184063967849193
"2001-07-01",32.1883588381501,3.34862949111002
"2001-08-01",32.1480410593407,-0.0403177788094257
"2001-09-01",33.2776315227441,1.12959046340339
"2001-10-01",34.371842759986,1.09421123724187
"2001-11-01",33.9294334390505,-0.44240932093546
"2001-12-01",37.0990740880675,3.16964064901699
"2002-01-01",52.8582097873665,15.759135699299
"2002-02-01",61.8471142468124,8.98890445944584
"2002-03-01",61.7105945821852,-0.136519664627126
"2002-04-01",61.8742419075951,0.16364732540986
"2002-05-01",65.6383159087183,3.76407400112317
"2002-06-01",69.4204574168067,3.78214150808844
"2002-07-01",70.4352444291595,1.01478701235278
"2002-08-01",73.5637212823547,3.12847685319527
"2002-09-01",73.2075935243489,-0.356127758005877
"2002-10-01",75.0571554133317,1.84956188898281
"2002-11-01",86.8402236421888,11.7830682288571
"2002-12-01",90.2657209264972,3.42549728430837
"2003-01-01",94.6484024964057,4.38268156990856
"2003-02-01",97.2637373634827,2.61533486707701
"2003-03-01",97.3590961765096,0.0953588130268336
"2003-04-01",97.9186262336413,0.559530057131787
"2003-05-01",97.8882922132742,-0.0303340203671945
"2003-06-01",97.5856648766741,-0.302627336600016
"2003-07-01",97.8036921445836,0.218027267909463
"2003-08-01",97.6961794550378,-0.107512689545756
"2003-09-01",97.3830596603286,-0.313119794709284
"2003-10-01",97.7062253568521,0.323165696523545
"2003-11-01",98.7053433638164,0.999118006964298
"2003-12-01",98.6725598943997,-0.0327834694166732
"2004-01-01",100.297162394488,1.62460250008859
"2004-02-01",104.815578892366,4.51841649787803
"2004-03-01",106.670214718513,1.85463582614709
"2004-04-01",108.124471426441,1.45425670792754
"2004-05-01",111.733818449788,3.60934702334704
"2004-06-01",112.388130894018,0.654312444229551
"2004-07-01",112.387541287205,-0.000589606812779544
"2004-08-01",114.542499237332,2.1549579501271
"2004-09-01",115.995313635884,1.45281439855231
"2004-10-01",116.650053892044,0.654740256159946
"2004-11-01",119.370963089218,2.72090919717364
"2004-12-01",119.577969125888,0.207006036670236
"2005-01-01",121.827379959751,2.24941083386272
"2005-02-01",122.503043122928,0.67566316317681
"2005-03-01",122.55724848326,0.0542053603324905
"2005-04-01",122.559596124657,0.00234764139712818
"2005-05-01",123.438296804809,0.878700680151959
"2005-06-01",125.842547124963,2.40425032015412
"2005-07-01",125.749460480774,-0.0930866441887663
"2005-08-01",128.745783377714,2.99632289693946
"2005-09-01",128.254840292022,-0.490943085692005
"2005-10-01",128.274286157333,0.0194458653112652
"2005-11-01",132.085035921867,3.81074976453367
"2005-12-01",133.101324223684,1.01628830181748
"2006-01-01",136.48301412173,3.38168989804581
"2006-02-01",136.211882168969,-0.271131952761512
"2006-03-01",137.565180289853,1.353298120884
"2006-04-01",138.295382198365,0.730201908512211
"2006-05-01",138.308647460224,0.0132652618586567
"2006-06-01",139.555849649606,1.24720218938234
"2006-07-01",140.614585761099,1.05873611149358
"2006-08-01",146.51159536439,5.89700960329095
"2006-09-01",184.650118056216,38.1385226918259
"2006-10-01",208.315619119138,23.6655010629212
"2006-11-01",204.030796885906,-4.28482223323204
"2006-12-01",200.319700196911,-3.71109668899492
"2007-01-01",208.548723230085,8.2290230331743
"2007-02-01",213.205796957919,4.65707372783372
"2007-03-01",213.770921705421,0.565124747502832
"2007-04-01",218.693512280878,4.92259057545632
"2007-05-01",219.924555641913,1.23104336103476
"2007-06-01",220.042168374953,0.117612733040959
"2007-07-01",221.792128328899,1.74995995394589
"2007-08-01",226.972926388109,5.18079805921009
"2007-09-01",227.371701916252,0.39877552814207
"2007-10-01",237.541428972744,10.1697270564925
"2007-11-01",243.787012515482,6.24558354273803
"2007-12-01",241.906628647271,-1.88038386821156
"2008-01-01",238.304602077677,-3.6020265695933
