"param","var","cv"
"beta1",0.341124789368725,0.472200266526097
"beta2",0.296678753733011,0.534875964856972
"beta0",0.247493716231793,0.25877771680768
"beta15",0.00821375433918265,4.45813014261536
"beta9",0.00679385170022821,4.13061769825214
"beta8",0.00651000107320654,55.0991753229785
"beta16",0.00619190669018631,131.262287044865
"beta13",0.00605359809629663,6.80014454116228
"beta7",0.00604645031330087,3.32485097746992
"beta14",0.00561488857653769,4.96873666400812
"beta12",0.00454804570980022,1.71716886583597
"beta5",0.00449328531627672,3.11049442609847
"beta4",0.00362201509672592,1.03927103992669
"beta3",0.0032987144561758,2.260385332444
"beta18",0.0032298650884647,3.30937762811466
"beta6",0.00320386750333921,3.39067295872286
"beta17",0.00314767765421206,3.34080254913564
"beta10",0.00310310852315651,9.8869308383752
"beta11",0.00226476289146262,2.48721014733921
